Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
1538	258	LA LIBERTAD	TELNOR		128	110.00
1174	609	EL ASINTAL	TELNOR		128	375.00
1411	725	SAN VICENTE BUENABAJ	TELNOR		128	375.00
1502	697	SANYUYO	TELNOR		128	375.00
1449	695	MINI MUNI CUBIL	TELNOR		128	375.00
1497	116	TODOS SANTOS HUEHUETENANGO	TELNOR		128	110.00
1130	617	SANTA LUCIA LA REFORMA	TELNOR		128	375.00
1368	681	SAN JOSE OJETENAM	TELNOR		128	110.00
1220	678	SAN ANTONIO PALOPO	TELNOR		128	375.00
1511	667	GUINEALES	TELNOR		128	375.00
1352	664	SANTA CRUZ NARANJO	TELNOR		128	375.00
1501	764	MERCADO MONJAS	TELNOR		128	375.00
1390	702	SAN ANDRES PETEN	TELNOR		128	375.00
1582	40	PLAYA GRANDE	TELNOR		128	375.00
1494	338	SAN ANTONIO ILOTENANGO	TELNOR		128	110.00
1594	231	SAN PABLO SAN MARCOS	TELNOR		128	110.00
1457	560	SANTA APOLONIA	TELNOR		64	110.00
1359	54	USPANTAN	TELNOR		128	110.00
1498	56	SAN ANTONIO HUISTA	TELNOR		128	110.00
1378	591	LA MAQUINA 2	TELNOR		128	375.00
1333	592	ZUNILITO	TELNOR		128	110.00
1523	779	KILOMETRO 11 SAN JUAN DOLORES	TELNOR		128	375.00
1105	593	SAN FRANCISCO ZAPOTITLAN 	TELNOR		128	375.00
1188	654	SAN VICENTE PACAYA	TELNOR		128	375.00
1313	691	SAN RAFAEL LA INDEPENDENCIA	TELNOR	0	128	375.00
1456	117	NENTON	TELNOR	117	64	110.00
989	1026	MOVIL 6 / AUTODIRECCIONABLE	TELNOR	22001	128	375.00
891	17	SANTA ELENA	TELNOR	22017	64	110.00
889	503	EL AMATILLO	TELNOR	22042	128	375.00
577	45	LA MESILLA	TELNOR	22045	64	110.00
1322	50	RAXRUJA	TELNOR	22050	128	110.00
1337	58	CUILCO	TELNOR	22058	128	110.00
1453	64	LAS CRUCES	TELNOR	22064	128	110.00
794	70	SAN PEDRO NECTA	TELNOR	22070	64	110.00
688	747	PACHALUM CALLE DE LAS FLORES	TELNOR	22090	128	375.00
1539	93	SAN PEDRO LA LAGUNA	TELNOR	22093	128	110.00
1472	98	CHACTE	TELNOR	22098	128	375.00
791	101	ADUANA SAN CRISTOBAL	TELNOR	22101	64	110.00
793	103	ADUANA EL CARMEN	TELNOR	22103	64	110.00
1454	107	ADUANA ERMITA	TELNOR	22107	128	110.00
727	108	ADUANA EL FLORIDO	TELNOR	22108	128	110.00
1344	471	POLOGUA	TELNOR	22130	128	110.00
33	131	REFORMA SAN MARCOS	TELNOR	22131	128	375.00
907	68	JALPATAGUA	TELNOR	22134	64	110.00
1336	149	SANTA EULALIA	TELNOR	22149	128	110.00
732	328	LA LIBERTAD HUEHUETENANGO	TELNOR	22159	128	375.00
329	240	SANTA ANA HUISTA	TELNOR	22161	128	375.00
400	128	CONCEPCION HUISTA	TELNOR	22162	128	375.00
86	182	SAN MIGUEL ACATAN	TELNOR	22164	128	375.00
1372	485	SAN JORGE ZACAPA	TELNOR	22170	128	110.00
1340	181	CHICAMAN	TELNOR	22183	128	110.00
263	123	TUCURU	TELNOR	22184	128	375.00
1349	44	LA TINTA	TELNOR	22185	128	110.00
1323	127	TELEMAN	TELNOR	22186	128	110.00
479	254	SENAHU	TELNOR	22188	128	375.00
27	122	CAHABON	TELNOR	22189	128	375.00
932	533	AUTOBANCO PLAYA GRANDE	TELNOR	22192	128	375.00
744	354	CHAHAL	TELNOR	22193	128	375.00
877	383	LAS ESCOBAS	TELNOR	22196	128	375.00
483	129	EL CHOL	TELNOR	22197	128	375.00
805	238	ZACUALPA	TELNOR	22199	64	110.00
1466	222	SAN ANDRES SAJCABAJA	TELNOR	22201	128	110.00
824	163	CUNEN	TELNOR	22203	64	110.00
579	200	CHAJUL	TELNOR	22205	64	110.00
1545	316	SAN JOSE POAQUIL	TELNOR	22207	128	375.00
268	209	EL NARANJO	TELNOR	22209	256	475.00
1350	487	CONCEPCION CHIQUIRICHAPA	TELNOR	22216	128	110.00
730	243	LANQUIN	TELNOR	22219	128	375.00
671	259	SANTA CLARA LA LAGUNA	TELNOR	22259	64	110.00
974	510	SAN JOSE LA ARADA	TELNOR	22261	128	375.00
1309	529	TAMAHU	TELNOR	22285	128	375.00
808	296	SAN JUAN OSTUNCALCO	TELNOR	22296	64	110.00
1021	528	GASOLINERA SCOTT EL JOCOTILLO	TELNOR	22315	128	375.00
733	330	CASILLAS	TELNOR	22330	128	375.00
554	332	AYARZA	TELNOR	22332	128	375.00
574	343	SAN MATEO IXTATAN	TELNOR	22343	128	375.00
779	395	SANTA CATARINA IXTAHUACAN	TELNOR	22395	128	375.00
662	444	JACALTENANGO 2	TELNOR	22444	64	110.00
785	448	EL QUETZAL	TELNOR	22448	128	375.00
806	469	ORGANISMO JUDICIAL ESCUINTLA	TELNOR	22469	256	110.00
1339	477	AUTOBANCO LA RUIDOSA	TELNOR	22477	128	110.00
1345	479	CEMEX AMATITLAN	TELNOR	22479	128	110.00
1338	484	SAN JOSE CHACAYA	TELNOR	22484	128	110.00
834	1007	TELNOR / NOC	TELNOR	29190	1024	550.00
831	1021	MOVIL 1	TELNOR	29191	128	375.00
832	1022	MOVIL 2	TELNOR	29193	128	375.00
833	1023	MOVIL 3	TELNOR	29194	128	375.00
887	1024	MOVIL 4	TELNOR	29195	128	375.00
888	1025	MOVIL 5	TELNOR	29196	128	375.00
