rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	29.47
2	BARBERENA	14.74
4	JUTIAPA	14.74
5	GUASTATOYA	29.47
6	ZACAPA	14.74
8	ESQUIPULAS	14.74
9	PUERTO BARRIOS	14.74
10	SALAMA	14.74
11	PANZOS	14.74
13	MONJA BLANCA	14.74
14	TECPAN	14.74
15	CHIQUIMULILLA	14.74
16	FRAY BARTOLOME DE LAS CASAS	14.74
17	SANTA ELENA	14.74
18	CHIMALTENANGO	14.74
20	MELCHOR DE MENCOS	14.74
21	TOTONICAPAN	14.74
22	SOLOLA	14.74
24	EL TUMBADOR	14.74
25	MALACATAN	14.74
29	PUEBLO NUEVO VIÑAS	14.74
30	LA MAQUINA	14.74
31	EL QUICHE	29.47
32	HUEHUETENANGO	14.74
35	SANTIAGO ATITLAN	14.74
36	MORALES	14.74
38	PATZUN	14.74
40	PLAYA GRANDE	14.74
41	LA DEMOCRACIA	14.74
42	IPALA	14.74
43	EL ESTOR	14.74
44	LA TINTA	14.74
45	LA MESILLA	29.47
46	SANTO TOMAS CHICHE	14.74
47	ALOTENANGO	14.74
49	CARCHA	29.47
50	RAXRUJA	14.74
52	NEBAJ	14.74
53	JOYABAJ	14.74
54	USPANTAN	14.74
55	SOLOMA	14.74
56	SAN ANTONIO HUISTA	14.74
57	SANTA CRUZ BARILLAS	14.74
58	CUILCO	14.74
59	SAN CRISTOBAL VERAPAZ	14.74
60	SACAPULAS	14.74
61	EL CHAL DOLORES	14.74
62	SAN LUIS	14.74
64	LAS CRUCES	14.74
65	RABINAL	14.74
66	SAN MARTIN JILOTEPEQUE	14.74
68	JALPATAGUA	14.74
69	GUALAN	14.74
70	SAN PEDRO NECTA	14.74
71	AGENCIA  18 CALLE ZONA 1	14.74
72	RIO DULCE	14.74
73	AGUACATAN	14.74
74	MINISTERIO DE FINANZAS PUBLICAS 	14.74
75	SAN CARLOS SIJA	14.74
76	CIUDAD PEDRO DE ALVARADO	14.74
79	MOMOSTENANGO	29.47
80	ANEXO NUEVA SANTA ROSA 	14.74
82	CAMOTAN	14.74
87	OLOPA	14.74
88	LA UNION	14.74
89	JACALTENANGO	14.74
90	PACHALUM	14.74
92	SAN MARCOS	29.47
93	SAN PEDRO LA LAGUNA	29.47
95	SAN FRANCISCO EL ALTO	29.47
98	CHACTE	14.74
99	OFICINA ZONA 1 (CENTRO)	14.74
100	ADUANA VALLE NUEVO	14.74
101	SAN CRISTOBAL FRONTERA	29.47
104	ADUANA PUERTO BARRIOS	14.74
105	SIJA QUETZALTENANGO	14.74
106	ADUANA AGUA CALIENTE	14.74
108	EL FLORIDO	14.74
109	ROOSEVELTH	44.21
110	ADUANA PEDRO DE ALVARADO	14.74
111	CUILAPA	14.74
113	ADUANA MELCHOR DE MENCOS	14.74
114	PUERTO QUETZAL	14.74
116	TODOS SANTOS HUEHUETENANGO	14.74
117	NENTON	14.74
