Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
2068	888	888	MUXBAL	COLUMBUS	5001567	2048	252.00
2193	888	8880001	MAYCOM CARRETERA A EL SALVADOR	COLUMBUS	5001435	2048	201.60
827	917	1999016	MINGOB	COLUMBUS	5001611	2048	201.60
2233	919	1999055	BANRURAL HONDURAS	COLUMBUS	5004202	10240	2600.00
2436	919	1999065	DC Zona 11 - Las charcas	COLUMBUS	5021545	102400	3080.00
2209	919	1999054	DATA CENTER ORGANISMO JUDICIAL	COLUMBUS	5001892	2048	252.00
2437	919	1999065	DC Zona 11 - Las charcas	COLUMBUS	5021546	102400	3080.00
2271	948	1999001	INTERNET	COLUMBUS	5004585	102400	5012.00
2017	948	1999001	INTERNET	COLUMBUS	5004524	51200	9128.00
2272	948	1999001	INTERNET	COLUMBUS	5000872	102400	5012.00
2162	948	1999001	INTERNET	COLUMBUS	5004504	51200	23190.72
2026	958	1999052	Agencia Virtual Data Center zona 11	COLUMBUS	5001648	2048	201.60
1965	1009	1009	PLAZA CENTRA SUR	COLUMBUS	5001636	2048	201.60
2199	1014	1014	AUTOBANCO FALLABON	COLUMBUS	5020606	2048	252.00
2276	1020	1020	CENTRO COMERCIAL PORTALES ZONA 17	COLUMBUS	5020355	2048	201.60
2270	1021	1021	COLEGIO DE INGENIEROS DE GUATEMALA	COLUMBUS	5020260	2048	201.60
2280	1022	1022	Atlantis	COLUMBUS	5020553	2048	201.60
2279	1023	1023	Naranjo Mall	COLUMBUS	5020593	2048	201.60
2408	1029	1029	CENTRO COMERCIAL TIKAL FUTURA	COLUMBUS	5022276	2048	201.60
2375	2088	2088	MAXIDESPENSA TRIGALES	COLUMBUS	5022071	2048	252.00
2261	9369	9149	PROCESOS LEGALES	COLUMBUS	5020229	2048	201.60
