rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	29.43
2	BARBERENA	14.71
4	JUTIAPA	14.71
5	GUASTATOYA	29.43
6	ZACAPA	14.71
8	ESQUIPULAS	14.71
9	PUERTO BARRIOS	14.71
10	SALAMA	14.71
11	PANZOS	14.71
13	MONJA BLANCA	14.71
14	TECPAN	14.71
15	CHIQUIMULILLA	14.71
16	FRAY BARTOLOME DE LAS CASAS	14.71
17	SANTA ELENA	14.71
18	CHIMALTENANGO	14.71
20	MELCHOR DE MENCOS	14.71
21	TOTONICAPAN	14.71
22	SOLOLA	14.71
24	EL TUMBADOR	14.71
25	MALACATAN	14.71
29	PUEBLO NUEVO VIÑAS	14.71
30	LA MAQUINA	14.71
31	EL QUICHE	29.43
32	HUEHUETENANGO	14.71
35	SANTIAGO ATITLAN	14.71
36	MORALES	14.71
38	PATZUN	14.71
40	PLAYA GRANDE	14.71
41	LA DEMOCRACIA	14.71
42	IPALA	14.71
43	EL ESTOR	14.71
44	LA TINTA	14.71
45	LA MESILLA	29.43
46	SANTO TOMAS CHICHE	14.71
47	ALOTENANGO	14.71
49	CARCHA	29.43
50	RAXRUJA	14.71
52	NEBAJ	14.71
53	JOYABAJ	14.71
54	USPANTAN	14.71
55	SOLOMA	14.71
56	SAN ANTONIO HUISTA	14.71
57	SANTA CRUZ BARILLAS	14.71
58	CUILCO	14.71
59	SAN CRISTOBAL VERAPAZ	14.71
60	SACAPULAS	14.71
61	EL CHAL DOLORES	14.71
62	SAN LUIS	14.71
64	LAS CRUCES	14.71
65	RABINAL	14.71
66	SAN MARTIN JILOTEPEQUE	14.71
68	JALPATAGUA	14.71
69	GUALAN	14.71
70	SAN PEDRO NECTA	14.71
71	AGENCIA  18 CALLE ZONA 1	14.71
72	RIO DULCE	14.71
73	AGUACATAN	14.71
74	MINISTERIO DE FINANZAS PUBLICAS 	14.71
75	SAN CARLOS SIJA	14.71
76	CIUDAD PEDRO DE ALVARADO	14.71
79	MOMOSTENANGO	29.43
80	ANEXO NUEVA SANTA ROSA 	14.71
