rm_oficinacontable	descripcion	monto_USD$
471	POLOGUA	14.54
474	CENTRO COMERCIAL TIKAL	14.54
475	LOS AMATES CENTRO	14.54
476	AUTOBANCO ALDEA MARISCOS	14.54
477	AUTOBANCO LA RUIDOSA	14.54
478	MERCADO LOS AMATES	14.54
481	CENTRO COMERCIAL MINUTO	14.54
482	GRACIAS A DIOS	14.54
483	SAN JUAN IXCOY	14.54
484	SAN JOSE CHACAYA	14.54
485	SAN JORGE ZACAPA	14.54
487	CONCEPCION CHIQUIRICHAPA	14.54
488	CHUARRANCHO	14.54
490	EL MILAGRO	14.54
493	MERCADO VILLA NUEVA	14.54
494	COMISARIATO MORALES	14.54
496	CENTRAL DE MAYOREO ALMOLONGA	14.54
497	AUTOBANCO LAS CHAMPAS	14.54
498	PARQUE JUTIAPA	14.54
500	WAY ASUNCION MITA	14.54
503	EL AMATILLO	14.54
504	AUTOBANCO GASO JUTIAPA	14.54
505	IGSS MONTUFAR	14.54
506	HORCONES 	14.54
507	SAN RAFAEL LAS FLORES	14.54
509	CC SANTA AMELIA	14.54
510	SAN JOSE LA ARADA	14.54
512	UNION CANTINIL	14.54
514	SUPERMERCADO LA CASITA	14.54
515	UNIVERSITARIA JUTIAPA	14.54
517	CHINIQUE	14.54
518	MONTUFAR	14.54
520	SAN JUAN ATITAN	14.54
521	SANTIAGO CHIMALTENANGO	14.54
523	GRAMEEN PANAJACHEL	14.54
525	SAN MIGUEL CHICAJ	14.54
527	AUTOBANCO CRUCE SAN LUIS 	14.54
528	LA CONCHA	14.54
530	AUTOBANCO CHIMALTENANGO	14.54
531	MULTIMAYOREO	14.54
532	PRADERA LINDA VISTA	14.54
534	AUTOBANCO FRAY BARTOLOME DE LAS CASAS	14.54
535	TIERRA BLANCA	14.54
536	TRAPICHE	14.54
537	GRAN KARMEL	14.54
540	CC LA DOCE	14.54
542	OJ ANTIGUA GUATEMALA	14.54
543	MERCADO ANTIGUA GUATEMALA	14.54
545	PRADERA CHIQUIMULA	14.54
546	WAY ZONA 6 PARROQUIA 	14.54
551	CENTRO COMERCIAL EL JAULON	14.54
554	HUITAN QUETZALTENANGO	14.54
555	SAN ANTONIO AGUAS CALIENTES	14.54
557	MERCADO SANTA LUISA	14.54
558	SAN MARTIN SACATEPEQUEZ	14.54
560	SANTA APOLONIA	14.54
562	AUTOBANCO ESCUINTLA	14.54
568	AUTOBANCO CC METRO PLAZA RETALHULEU	14.54
569	SANTO TOMAS LA UNION SUCHITEPEQUEZ	14.54
571	DIMACO PAJAPITA SAN MARCOS	14.54
572	RENAP SANTA CATARINA PINULA	29.08
574	SANTA MARIA DE JESUS	14.54
575	COLOTENANGO	14.54
576	TANQUE LA UNION ANTIGUA	14.54
577	DGAC MUNDO MAYA PETEN	14.54
578	AUTOBANCO JAGUAR AEROPUERTO MUNDO MAYA	14.54
580	AUTOBANCO JAGUAR SAN BENITO	14.54
581	EL ADELANTO	14.54
582	AUTOBANCO El TEJAR	29.08
583	AUTOBANCO JAGUAR POPTUN	14.54
589	ALDEA LA ERMITA	14.54
590	SUPER DEL BARRIO CARRETERA AL ATLANTICO	14.54
591	LA MAQUINA 2	14.54
592	ZUNILITO	14.54
593	SAN FRANCISCO ZAPOTITLAN 	14.54
594	CABALLO BLANCO	14.54
595	CHINAUTLA	14.54
596	MEGAMEDICA ZACAPA	14.54
601	AUTOBANCO ENTRE RIOS	14.54
613	COLONIA MAYA	14.54
614	SANTA ELENA BARILLAS	14.54
622	UNIVERSIDAD PANAMERICANA	14.54
623	SANTA ANA PETEN	14.54
624	C.C. PASEO LAS PALMAS RETALHULEU	14.54
629	MERCADO NUEVA CONCEPCION	14.54
630	CENTRO COMERCIAL CATALINA VILLA NUEVA	14.54
634	SUPERDICASA LA DEMOCRACIA	14.54
635	SAN SEBASTIAN COATAN	14.54
637	SAN JUAN ERMITA CHIQUIMULA	14.54
638	SAN JACINTO	14.54
639	GRAMEEN SACAPULAS	14.54
643	MEGAPACA PASEO SAN NICOLAS	14.54
646	MEGAPACA VILLA NUEVA	14.54
649	ACATENANGO	14.54
652	SAT CUILAPA	14.54
654	SAN VICENTE PACAYA	29.08
656	GRAMEEN SANTA CLARA LA LAGUNA	14.54
657	SAN PEDRO YEPOCAPA	14.54
659	C.C. ESKALA ROOSEVELT	14.54
660	CC ALTAVISTA	14.54
661	PLAZA FINACIERA CENTRA SUR	14.54
662	PORTUARIA QUETZAL (PTO)	14.54
663	DEL MAESTRO ZONA 1	14.54
664	SANTA CRUZ NARANJO	14.54
667	GUINEALES	14.54
669	PASEO DE LAS AMERICAS XELA	14.54
671	MUNICIPALIDAD FRAIJANES	14.54
675	SAN JOSE ACATEMPA	14.54
677	CALZADA MOPAN DOLORES PETEN	14.54
679	SAN PEDRO SACATEPEQUEZ CENTRO	14.54
681	SAN JOSE OJETENAM	14.54
683	SAN ANTONIO SACATEPEQUEZ	14.54
684	AUTOBANCO CHIQUIMULILLA	14.54
687	LLANO GRANDE SALAMA	14.54
690	MEGAPACA EL PUNTO	14.54
691	SAN RAFAEL LA INDEPENDENCIA	14.54
692	SAN GASPAR IXCHIL	14.54
693	CC PLAZA MANANTIAL	14.54
695	MINI MUNI CUBIL	14.54
696	MINI MUNI CAMPO DE AVIACION COBAN	14.54
697	SANYUYO	14.54
698	GRAMEEN USPANTAN	14.54
699	MAGDALENA MILPAS ALTAS	14.54
700	AUTOBANCO MULTIPLAZA EL SAUCE	14.54
703	GRAMEEN HUEHUETENANGO	14.54
704	MIXCO PARQUE	14.54
705	MIX SAN CRISTOBAL	29.08
706	CUYOTENANGO	14.54
707	AUTOBANCO MEGAFERRO	14.54
714	AUTOBANCO VILLAS DEL SUR	29.08
716	SAN JUAN TECUACO	14.54
718	 SAN FRANCISCO DE ASIS	14.54
719	SANTA LUCIA CENTRO	14.54
720	QUICHE ZONA 3	14.54
721	TERMINAL QUICHE	14.54
723	CC LOS PROCERES	14.54
724	MERCADO SANTA ELENA	14.54
725	SAN VICENTE BUENABAJ	14.54
726	GALERIAS DEL SUR	14.54
727	MUNICIPALIDAD SAN RAYMUNDO	14.54
728	CHINACA	14.54
730	GRAMEEN SAN PABLO	14.54
731	CENTRA NORTE	14.54
732	SAN BARTOLO AGUAS CALIENTES	14.54
733	CC PRADERA CONCEPCION	14.54
734	LA BLANCA SAN MARCOS	14.54
735	NUEVO PROGRESO	14.54
737	GRAMEEN NEBAJ	14.54
739	PLAZA MEDICA DEL NORTE	29.08
740	MUNICIPALIDAD DE CHIMALTENANGO	14.54
741	MEGAPACA VILLA LINDA	14.54
743	OCRET	14.54
744	CENTRO COMERCIAL METRO PLAZA JUTIAPA	14.54
745	COLONIA LOS ANGELES	14.54
747	PACHALUM CALLE DE LAS FLORES	14.54
749	MEGAPACA VIP CHIQUIMULA	29.08
750	CENTRO COMERCIAL MAJADAS	14.54
751	CENTRO COMERCIAL LA TRINIDAD MALACATAN	14.54
752	UNISUPER NIMAJUYU	14.54
753	LAS CABEZAS ORATORIO	14.54
754	CALLE MARTI 12 AVENIDA	14.54
755	UNISUPER LA BRIGADA	14.54
756	UNISUPER LO DE FUENTES	14.54
757	CENTRO COMERCIAL PLAZA METROFERIA	14.54
758	GASO MOYUTA	14.54
761	PARQUE CENTRAL SAN ANTONIO HUISTA	14.54
762	MEGAPACA XELA	14.54
763	GUATELINDA SAN DIEGO	14.54
765	MUNICIPALIDAD DE SANTA CATARINA BARAHONA	14.54
766	CONTRALORIA GENERAL DE CUENTAS ZONA 13	14.54
767	MINISTERIO DE SALUD PUBLICA ZONA 9	14.54
769	CIUDAD QUETZAL	14.54
770	MUNICIPALIDAD DE SAN JOSE POAQUIL	14.54
771	SAN SEBASTIAN RETALHULEU	14.54
772	CASAS VIEJAS	14.54
773	CENTRO COMERCIAL MAYA MALL	14.54
774	EL JICARO	14.54
776	JOCOTENANGO	14.54
777	AUTOBANCO SAN MARCOS	14.54
779	KILOMETRO 11 SAN JUAN DOLORES	14.54
780	LOS ESCUDOS CHIMALTENANGO	14.54
781	CENTRO COMERCIAL SAN FRANCISCO ZONA 6 MIXCO	14.54
782	MUNICIPALIDAD DE MASAGUA	14.54
783	REGISTRO GENERAL DE LA PROPIEDAD	14.54
785	CENTRO COMERCIAL LAS FLORES AMATITLAN	14.54
786	CEALSA	14.54
787	CENTRO COMERCIAL SAN FRANCISCO	14.54
788	SAN JOSE DE LA COMUNIDAD	14.54
789	MERCADO COBAN	14.54
791	AUTOBANCO MEGAPLAZA	29.08
792	COMERCIAL PLAZA LA LIBERTAD PETEN	14.54
793	MERCADO PRIMERO DE JULIO	14.54
795	LICEO ROCA DE AYUDA	14.54
799	MUNICIPALIDAD DE QUETZALTENANGO	14.54
801	MUNICIPALIDAD RETALHULEU	14.54
802	JUMAYTEPEQUE	14.54
803	AUTOBANCO BARBERENA	14.54
804	COLIS	14.54
805	ESQUIPULAS 6A. AVENIDA	14.54
806	TZOLOJYA	14.54
808	AUTOBANCO SAMAYAC	14.54
809	EVENTOS CATOLICOS	14.54
811	LO DE REYES SAN PEDRO AYAMPUC	14.54
812	CALLE REAL SAN JOSE DEL GOLFO	29.08
813	CONGUACO	14.54
814	RENAP KOREA CENTER	14.54
815	SUPER DEL BARRIO CIUDAD REAL	14.54
819	PANORAMA EXPRESS	14.54
822	COMAPA	14.54
823	GENOVA COSTA CUCA	14.54
824	SANTA MARIA CHIQUIMULA	14.54
825	CUNOC QUETZALTENANGO	14.54
827	CORPORATIVA QUETZALTENANGO	14.54
828	RABINAL CENTRO	14.54
829	CIUDAD SATELITE	14.54
830	LAS BRISAS	14.54
831	C.C. MOLINO DE LAS FLORES	14.54
832	CENTRO COMERCIAL LA TRINIDAD COATEPEQUE	29.08
833	LAS PALMAS COATEPEQUE	14.54
834	SAN SEBASTIAN HUEHUETENANGO	14.54
836	MEGAPACA CENTRAL	14.54
837	PARQUE CENTRAL RETALHULEU (VIP)	14.54
838	LAS POZAS RIO HONDO	14.54
839	SAN ANTONIO LA PAZ	14.54
841	MULTIMAYOREO ESCUINTLA	14.54
842	COLEGIO DE PROFESIONALES	14.54
843	SAN MIGUEL TOTONICAPAN	14.54
844	AUTOBANCO PALENCIA	14.54
845	CENTRO COMERCIAL REAL AMERICA	14.54
847	CUNOROC	14.54
848	RIO SAN JUAN AGUACATAN	14.54
849	CENTRO COMERCIAL LA ISLA	14.54
850	AUTOBANCO SAN RAFAEL LAS FLORES	14.54
852	MUNICIPALIDAD SAN PABLO JOCOPILAS	14.54
853	MUNICIPALIDAD DE SAN GABRIEL	14.54
854	MUNICIPALIDAD DE SAN MIGUEL PANAN SUCHITEPEQ	14.54
855	LA REYNITA SAYAXCHE	14.54
856	CONTEPEQUE ATESCATEMPA JUTIAPA	14.54
858	TECTITAN	14.54
859	LA TERMINAL USPANTAN	14.54
860	AUTOBANCO SAN MARTIN JILOTEPEQUE	14.54
861	SAN PEDRO JOCOPILAS	14.54
863	PATZITE	14.54
865	AUTOBANCO CALZADA ASTURIAS	14.54
869	PANORAMA XELA	14.54
870	MORALES CENTRO	14.54
871	LA BARRANCA GRANDE	14.54
872	BUENOS AIRES	14.54
875	AUTOBANCO AMBERES	14.54
876	SIPACAPA SAN MARCOS	14.54
877	AUTOBANCO MAYUELAS	14.54
878	AUTOBANCO PLAYITAS	14.54
879	MUNICIPALIDAD SAN PEDRO AYAMPUC	14.54
881	SAN MIGUEL SIGUILA	14.54
882	OLINTEPEQUE	14.54
883	ARGUETA	14.54
884	MINISTERIO DE GOBERNACION	14.54
885	MERCADO LA DEMOCRACIA XELA	14.54
886	LA ESPERANZA	14.54
887	AUTOBANCO CONDADO SAN CRISTOBAL TOTONICAPAN	14.54
888	MUXBAL	29.08
889	MUNICIPALIDAD DE JALAPA	14.54
890	PUERTO DE IZTAPA	14.54
891	GUANAGAZAPA	14.54
892	PASACO	14.54
893	PALESTINA LAS CRUCES	14.54
895	ALDEA EL OBRAJUELO AGUA BLANCA	14.54
896	TIUCAL ASUNCION MITA JUTIAPA	14.54
906	 	14.54
1000	Mercado Sipacate	14.54
1001	AUTOBANCO CIUDAD QUETZAL	14.54
1003	AUTOBANCO EL PORVENIR / EL CARMEN	14.54
1004	2do. REGISTRO DE LA PROPIEDAD	14.54
1005	AUTOBANCO PLAZA MINERVA CHIQUIMULA	14.54
1006	AUTOBANCO PLAZA LOS PINOS QUETZALTEPEQUE	14.54
1007	MERCADO SANTA CATARINA	14.54
1008	MANZANOTES	14.54
1009	PLAZA CENTRA SUR	14.54
1010	Autobanco La Democracia Escuintla	14.54
1013	CIUDAD PERONIA	14.54
1014	AUTOBANCO FALLABON	14.54
1015	EL CALVARIO	14.54
1017	MERCADO SAN BENITO	14.54
1019	PLAZA SAN FRANCISCO	14.54
1020	CENTRO COMERCIAL PORTALES ZONA 17	14.54
1021	COLEGIO DE INGENIEROS DE GUATEMALA	14.54
1022	Atlantis	14.54
1023	Naranjo Mall	29.08
1024	RENAP TOTONICAPAN	14.54
1025	ESMERALDA	14.54
1026	SEGUNDO REGISTRO DE LA PROPIEDAD	14.54
1029	CENTRO COMERCIAL TIKAL FUTURA	14.54
2083	MAXIDESPENSA VILLA NUEVA	14.54
2084	MAXI DESPENSA ROOSEVELT	14.54
2085	MAXI BODEGA AGENCIA ANEXO NO. 221	14.54
2087	MAXIDESPENSA ATLANTIDA	14.54
2088	MAXIDESPENSA TRIGALES	14.54
2089	CENTRO COMERCIAL PRADERA HUEHUTENANGO	14.54
2090	MAXIDESPENSA CHIMALTENANGO	14.54
9369	 	14.54
