rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	29.17
2	BARBERENA	14.58
4	JUTIAPA	14.58
5	GUASTATOYA	29.17
6	ZACAPA	14.58
8	ESQUIPULAS	14.58
9	PUERTO BARRIOS	14.58
10	SALAMA	14.58
11	PANZOS	14.58
13	MONJA BLANCA	14.58
14	TECPAN	14.58
15	CHIQUIMULILLA	14.58
16	FRAY BARTOLOME DE LAS CASAS	14.58
17	SANTA ELENA	14.58
18	CHIMALTENANGO	14.58
20	MELCHOR DE MENCOS	14.58
21	TOTONICAPAN	14.58
22	SOLOLA	14.58
24	EL TUMBADOR	14.58
25	MALACATAN	14.58
29	PUEBLO NUEVO VIÑAS	14.58
30	LA MAQUINA	14.58
31	EL QUICHE	29.17
32	HUEHUETENANGO	14.58
35	SANTIAGO ATITLAN	14.58
36	MORALES	14.58
38	PATZUN	14.58
40	PLAYA GRANDE	14.58
41	LA DEMOCRACIA	14.58
42	IPALA	14.58
43	EL ESTOR	14.58
44	LA TINTA	14.58
45	LA MESILLA	29.17
46	SANTO TOMAS CHICHE	14.58
47	ALOTENANGO	14.58
49	CARCHA	29.17
50	RAXRUJA	14.58
52	NEBAJ	14.58
53	JOYABAJ	14.58
54	USPANTAN	14.58
55	SOLOMA	14.58
56	SAN ANTONIO HUISTA	14.58
57	SANTA CRUZ BARILLAS	14.58
58	CUILCO	14.58
59	SAN CRISTOBAL VERAPAZ	14.58
60	SACAPULAS	14.58
61	EL CHAL DOLORES	14.58
62	SAN LUIS	14.58
64	LAS CRUCES	14.58
65	RABINAL	14.58
66	SAN MARTIN JILOTEPEQUE	14.58
68	JALPATAGUA	14.58
69	GUALAN	14.58
70	SAN PEDRO NECTA	14.58
71	AGENCIA  18 CALLE ZONA 1	14.58
72	RIO DULCE	14.58
73	AGUACATAN	14.58
74	MINISTERIO DE FINANZAS PUBLICAS 	14.58
75	SAN CARLOS SIJA	14.58
76	CIUDAD PEDRO DE ALVARADO	14.58
78	CENTRAL DE MAYOREO (CENMA)	14.58
79	MOMOSTENANGO	29.17
80	ANEXO NUEVA SANTA ROSA 	14.58
82	CAMOTAN	14.58
87	OLOPA	14.58
88	LA UNION	14.58
89	JACALTENANGO	14.58
90	PACHALUM	14.58
92	SAN MARCOS	29.17
93	SAN PEDRO LA LAGUNA	29.17
95	SAN FRANCISCO EL ALTO	29.17
98	CHACTE	14.58
99	OFICINA ZONA 1 (CENTRO)	14.58
100	ADUANA VALLE NUEVO	14.58
101	SAN CRISTOBAL FRONTERA	29.17
104	ADUANA PUERTO BARRIOS	14.58
105	SIJA QUETZALTENANGO	14.58
106	ADUANA AGUA CALIENTE	14.58
108	EL FLORIDO	14.58
109	ROOSEVELTH	43.75
110	ADUANA PEDRO DE ALVARADO	14.58
111	CUILAPA	14.58
113	ADUANA MELCHOR DE MENCOS	14.58
114	PUERTO QUETZAL	14.58
116	TODOS SANTOS HUEHUETENANGO	14.58
117	NENTON	14.58
118	BOULEVAR LIBERACION	14.58
119	SANTA MARIA IXHUATAN	14.58
120	AUTOBANCO ASUNCION MITA	14.58
121	CHICHICASTENANGO	14.58
124	COBAN IMPERIAL	29.17
125	CHISEC	14.58
126	SAN MANUEL CHAPARRON	14.58
127	AUTOBANCO TELEMAN	14.58
128	CONCEPCION HUISTA	14.58
129	EL CHOL	14.58
130	GRANADOS	14.58
131	REFORMA SAN MARCOS	14.58
132	AGENCIA ZONA 6 (MARTI)	14.58
133	C.C. PLAZA MAGDALENA	14.58
134	AGENCIA ZONA 7	14.58
135	AGENCIA ZONA 5	14.58
136	METRONORTE	29.17
137	VILLA NUEVA	14.58
