Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1870	1	1	ANTIGUA GUATEMALA	COLUMBUS	5001297	6144	862.40
1871	2	2	BARBERENA	COLUMBUS	5001287	6144	862.40
1872	4	4	JUTIAPA	COLUMBUS	5001305	6144	862.40
2275	8	8	ESQUIPULAS	COLUMBUS	5020239	1024	190.40
1873	15	15	CHIQUIMULILLA	COLUMBUS	5001304	6144	862.40
1874	22	22	SOLOLA	COLUMBUS	5001272	6144	862.40
1875	32	32	HUEHUETENANGO	COLUMBUS	5001281	6144	862.40
2089	33	330002	UNIVERSIDAD DA VINCI	COLUMBUS	5002260	1024	190.40
2033	55	55	SOLOMA	COLUMBUS	5001842	6144	862.40
1876	62	62	SAN LUIS	COLUMBUS	5001274	6144	862.40
1986	101	101	SAN CRISTOBAL FRONTERA	COLUMBUS	5001756	1024	190.40
1877	124	124	COBAN IMPERIAL	COLUMBUS	5001284	6144	862.40
2034	132	132	AGENCIA ZONA 6 (MARTI)	COLUMBUS	5001843	6144	862.40
2084	139	1390001	ANEXO SUPER DEL BARRIO BELEN	COLUMBUS	5002251	1024	190.40
1878	148	148	COLONIAL ANTIGUA	COLUMBUS	5001283	6144	862.40
1879	152	152	AUTOBANCO PROGRESO JUTIAPA	COLUMBUS	5001293	6144	862.40
2052	155	155	AUTOBANCO LAS MINAS ESQUIPULAS	COLUMBUS	5001844	6144	862.40
1880	160	160	AUTOBANCO TEXACO CHIQUIMULA	COLUMBUS	5001290	6144	862.40
1881	162	162	CAMOJA	COLUMBUS	5001285	6144	862.40
1882	189	189	19 AVENIDA ZONA 6	COLUMBUS	5001303	1024	190.40
2085	205	2050001	ANTECEDENTES POLICIACOS ZONA 9	COLUMBUS	5002249	1024	190.40
2044	206	206	MEGA PRIMMA	COLUMBUS	5001468	6144	862.40
1944	206	2206	SAT MEGAPRIMMA	COLUMBUS	5001522	1024	190.40
1985	225	2250001	ANEXO MERCADO EL GUARDA	COLUMBUS	5001473	1024	190.40
2277	247	247	ZONA FRANCA	COLUMBUS	5020525	1024	190.40
1991	249	249	AUTOBANCO - QUETZALTENANGO	COLUMBUS	5001755	4096	593.60
1884	275	275	MAZATENANGO PLAZA AMERICA	COLUMBUS	5001278	6144	862.40
1959	278	278	MERCADO LA REFORMITA	COLUMBUS	5001489	1024	190.40
1885	283	283	AUTOBANCO ZACAPA TAMARINDAL	COLUMBUS	5001289	6144	862.40
1886	309	309	IPM	COLUMBUS	5001280	1024	190.40
1888	329	329	AUTOBANCO COATEPEQUE	COLUMBUS	5001302	6144	862.40
1981	339	3390001	REGISTRO DE PERSONAS JURIDICAS	COLUMBUS	5001649	1024	190.40
1889	340	340	2 CALLE ZONA 9	COLUMBUS	5001298	6144	862.40
1990	340	3400001	MAYCOM 2A. CALLE ZONA 9	COLUMBUS	5001698	2048	324.80
1988	364	364	MIRAFLORES	COLUMBUS	5001504	1024	190.40
1890	384	384	CENTRO COMERCIAL MONTUFAR	COLUMBUS	5001300	6144	862.40
2086	403	4030001	ANEXO PASEO DE LOS CAMPEONES	COLUMBUS	5002250	1024	190.40
1891	404	404	AVENIDA PETAPA	COLUMBUS	5001288	6144	862.40
1892	406	406	VILLA DE GUADALUPE	COLUMBUS	5001269	6144	862.40
1867	408	408	CALZADA AGUILAR BATRES	COLUMBUS	5001178	6144	862.40
1868	414	414	ROOSEVELT 2	COLUMBUS	5001179	6144	862.40
1895	424	424	VILLA NUEVA 2	COLUMBUS	5001268	1024	190.40
1896	428	428	SALAMA 5A AVENIDA	COLUMBUS	5001299	6144	862.40
1897	430	430	SANTA ELENA 4A CALLE	COLUMBUS	5001273	6144	862.40
1940	432	4320001	CENTRO COMERCIAL PASEO CARNAVAL	COLUMBUS	5001566	1024	190.40
2274	437	437	CHIQUIMULA 8A. AVENIDA	COLUMBUS	5020236	1024	190.40
2106	440	440	ESCUINTLA 3A CALLE	COLUMBUS	5002269	6144	862.40
2002	453	453	C.C. PRADERA ZONA10	COLUMBUS	5001890	1024	190.40
1942	458	4580001	MEGAPACA TECULUTAN	COLUMBUS	5001575	1024	190.40
1898	477	477	AUTOBANCO LA RUIDOSA	COLUMBUS	5001294	6144	862.40
2040	481	481	CENTRO COMERCIAL MINUTO	COLUMBUS	5002070	1024	190.40
2104	493	493	MERCADO VILLA NUEVA	COLUMBUS	5002268	6144	862.40
2042	497	497	AUTOBANCO LAS CHAMPAS	COLUMBUS	5001845	6144	862.40
1966	506	506	HORCONES 	COLUMBUS	5001667	1024	190.40
1955	514	514	SUPERMERCADO LA CASITA	COLUMBUS	5001650	1024	190.40
1967	528	528	LA CONCHA	COLUMBUS	5001668	1024	190.40
1899	530	530	AUTOBANCO CHIMALTENANGO	COLUMBUS	5001295	6144	862.40
2097	562	562002	ANEXO AUTOBANCO ESCUINTLA	COLUMBUS	5002415	1024	190.40
2032	623	623	SANTA ANA PETEN	COLUMBUS	5001846	6144	862.40
1900	669	669	PASEO DE LAS AMERICAS XELA	COLUMBUS	5001276	6144	862.40
1983	695	695	MINI MUNI CUBIL	COLUMBUS	5001675	1024	190.40
2088	705	7050002	MINI MUNI SANCRIS MALL	COLUMBUS	5002259	1024	190.40
1901	721	721	TERMINAL QUICHE	COLUMBUS	5001271	6144	862.40
1989	733	733	CC PRADERA CONCEPCION	COLUMBUS	5001699	1024	190.40
1903	777	777	AUTOBANCO SAN MARCOS	COLUMBUS	5001292	6144	862.40
1960	783	783	REGISTRO GENERAL DE LA PROPIEDAD	COLUMBUS	5001576	1024	190.40
2249	789	7890001	MAYCOM COBAN	COLUMBUS	5009258	1024	190.40
2067	791	791	AUTOBANCO MEGAPLAZA	COLUMBUS	5001511	6144	862.40
2043	806	806	TZOLOJYA	COLUMBUS	5001847	6144	862.40
1937	833	833	LAS PALMAS COATEPEQUE	COLUMBUS	5001569	1024	190.40
1964	836	836	MEGAPACA CENTRAL	COLUMBUS	5001603	1024	190.40
1941	842	842	COLEGIO DE PROFESIONALES	COLUMBUS	5001520	1024	190.40
1927	843	843	SAN MIGUEL TOTONICAPAN	COLUMBUS	5001512	1024	190.40
2204	884	8840001	GOBERNACION 6A. AVENIDA	COLUMBUS	5003584	1024	190.40
1904	887	887	AUTOBANCO CONDADO SAN CRISTOBAL TOTONICAPAN	COLUMBUS	5001301	6144	862.40
2068	888	888	MUXBAL	COLUMBUS	5001567	1024	190.40
2193	888	8880001	MAYCOM CARRETERA A EL SALVADOR	COLUMBUS	5001435	2048	324.80
827	917	1999016	MINGOB	COLUMBUS	5001611	1024	190.40
2233	919	1999055	BANRURAL HONDURAS	COLUMBUS	5004202	10240	2600.00
2234	919	1999056	BANRURAL EL SALVADOR	COLUMBUS	5004611	2048	675.00
2209	919	1999054	DATA CENTER ORGANISMO JUDICIAL	COLUMBUS	5001892	1024	190.40
2271	948	1999001	INTERNET	COLUMBUS	5004585	51200	2620.80
2017	948	1999001	INTERNET	COLUMBUS	5000872	51200	5880.00
2272	948	1999001	INTERNET	COLUMBUS	5004586	51200	2620.80
2162	948	1999001	INTERNET	COLUMBUS	8200	51200	11934.72
2026	958	1999052	Agencia Virtual Data Center zona 11	COLUMBUS	5001648	1024	190.40
1965	1009	1009	PLAZA CENTRA SUR	COLUMBUS	5001636	1024	190.40
2199	1014	1014	AUTOBANCO FALLABON	COLUMBUS	5020606	1024	257.60
2276	1020	1020	CENTRO COMERCIAL PORTALES, ZONA 17	COLUMBUS	5020355	1024	190.40
2270	1021	1021	COLEGIO DE INGENIEROS DE GUATEMALA	COLUMBUS	5020260	1024	190.40
2280	1022	1022	Atlantis	COLUMBUS	5020553	1024	190.40
2279	1023	1023	Naranjo Mall	COLUMBUS	5020594	1024	257.60
2075	2091	2091	MAXIDESPENSA PUERTO BARRIOS	COLUMBUS	5002230	1024	190.40
2261	9369	9149	PROCESOS LEGALES	COLUMBUS	5020229	1024	190.40
