rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	29.12
2	BARBERENA	14.56
4	JUTIAPA	14.56
5	GUASTATOYA	29.12
6	ZACAPA	14.56
8	ESQUIPULAS	14.56
9	PUERTO BARRIOS	14.56
10	SALAMA	14.56
11	PANZOS	14.56
13	MONJA BLANCA	14.56
14	TECPAN	14.56
15	CHIQUIMULILLA	14.56
16	FRAY BARTOLOME DE LAS CASAS	14.56
17	SANTA ELENA	14.56
18	CHIMALTENANGO	14.56
20	MELCHOR DE MENCOS	14.56
21	TOTONICAPAN	14.56
22	SOLOLA	14.56
24	EL TUMBADOR	14.56
25	MALACATAN	14.56
29	PUEBLO NUEVO VIÑAS	14.56
30	LA MAQUINA	14.56
31	EL QUICHE	29.12
32	HUEHUETENANGO	14.56
35	SANTIAGO ATITLAN	14.56
36	MORALES	14.56
38	PATZUN	14.56
40	PLAYA GRANDE	14.56
41	LA DEMOCRACIA	14.56
42	IPALA	14.56
43	EL ESTOR	14.56
44	LA TINTA	14.56
45	LA MESILLA	29.12
46	SANTO TOMAS CHICHE	14.56
47	ALOTENANGO	14.56
49	CARCHA	29.12
50	RAXRUJA	14.56
52	NEBAJ	14.56
53	JOYABAJ	14.56
54	USPANTAN	14.56
55	SOLOMA	14.56
56	SAN ANTONIO HUISTA	14.56
57	SANTA CRUZ BARILLAS	14.56
58	CUILCO	14.56
59	SAN CRISTOBAL VERAPAZ	14.56
60	SACAPULAS	14.56
61	EL CHAL DOLORES	14.56
62	SAN LUIS	14.56
64	LAS CRUCES	14.56
65	RABINAL	14.56
66	SAN MARTIN JILOTEPEQUE	14.56
68	JALPATAGUA	14.56
69	GUALAN	14.56
70	SAN PEDRO NECTA	14.56
71	AGENCIA  18 CALLE ZONA 1	14.56
72	RIO DULCE	14.56
73	AGUACATAN	14.56
74	MINISTERIO DE FINANZAS PUBLICAS 	14.56
75	SAN CARLOS SIJA	14.56
76	CIUDAD PEDRO DE ALVARADO	14.56
78	CENTRAL DE MAYOREO (CENMA)	14.56
79	MOMOSTENANGO	29.12
80	ANEXO NUEVA SANTA ROSA 	14.56
82	CAMOTAN	14.56
87	OLOPA	14.56
88	LA UNION	14.56
89	JACALTENANGO	14.56
90	PACHALUM	14.56
92	SAN MARCOS	29.12
93	SAN PEDRO LA LAGUNA	29.12
95	SAN FRANCISCO EL ALTO	29.12
98	CHACTE	14.56
99	OFICINA ZONA 1 (CENTRO)	14.56
100	ADUANA VALLE NUEVO	14.56
101	SAN CRISTOBAL FRONTERA	29.12
104	ADUANA PUERTO BARRIOS	14.56
105	SIJA QUETZALTENANGO	14.56
106	ADUANA AGUA CALIENTE	14.56
108	EL FLORIDO	14.56
109	ROOSEVELTH	43.69
110	ADUANA PEDRO DE ALVARADO	14.56
111	CUILAPA	14.56
113	ADUANA MELCHOR DE MENCOS	14.56
114	PUERTO QUETZAL	14.56
116	TODOS SANTOS HUEHUETENANGO	14.56
117	NENTON	14.56
118	BOULEVAR LIBERACION	14.56
119	SANTA MARIA IXHUATAN	14.56
120	AUTOBANCO ASUNCION MITA	14.56
121	CHICHICASTENANGO	14.56
124	COBAN IMPERIAL	29.12
125	CHISEC	14.56
126	SAN MANUEL CHAPARRON	14.56
127	AUTOBANCO TELEMAN	14.56
128	CONCEPCION HUISTA	14.56
129	EL CHOL	14.56
130	GRANADOS	14.56
131	REFORMA SAN MARCOS	14.56
132	AGENCIA ZONA 6 (MARTI)	14.56
133	C.C. PLAZA MAGDALENA	14.56
134	AGENCIA ZONA 7	14.56
135	AGENCIA ZONA 5	14.56
136	METRONORTE	29.12
137	VILLA NUEVA	14.56
138	AGENCIA MIXCO	14.56
139	AGENCIA ZONA 19	29.12
141	TERMINAL HUEHUETENANGO	14.56
142	PLAZA PALMERAS	14.56
144	SAN BENITO PETEN	14.56
146	INGUAT	14.56
147	AGENCIA SAT ZACAPA	29.12
148	COLONIAL ANTIGUA	14.56
149	SANTA EULALIA	14.56
151	SALAMA CENTRO	14.56
152	AUTOBANCO PROGRESO JUTIAPA	14.56
153	AUTOBANCO CIUDAD SAN CRISTOBAL	14.56
154	AGUA BLANCA	14.56
155	AUTOBANCO LAS MINAS ESQUIPULAS	14.56
156	PANAJACHEL	14.56
157	SAT - JALAPA	14.56
158	SAMAYAC	14.56
159	SAN ANDRES SEMETABAJ	14.56
160	AUTOBANCO TEXACO CHIQUIMULA	14.56
162	CAMOJA	14.56
163	CUNEN	14.56
164	AMATITLAN	29.12
165	XELAJU	29.12
166	TECULUTAN	14.56
168	LA TORRE	14.56
169	EL PROGRESO	14.56
170	C.D.R.O	14.56
173	19 CALLE	14.56
174	PURULHA	14.56
175	ORGANISMO JUDICIAL	14.56
177	LA DEMOCRACIA ESCUINTLA	14.56
178	AEROPUERTO	43.69
179	PALIN	14.56
180	SANARATE	14.56
181	CHICAMAN	14.56
183	PRISA	14.56
184	TERMINAL JUTIAPA	29.12
185	IGSS CENTRAL	14.56
187	SAN ANTONIO SUCHITEPEQUEZ	14.56
188	IGSS ZONA 5	14.56
189	19 AVENIDA ZONA 6	14.56
190	IGSS ZONA 11	14.56
192	IGSS MONTE REAL	14.56
193	IGSS RETALHULEU	14.56
194	IGSS PAMPLONA	14.56
195	TIQUISATE	14.56
196	SAN MIGUEL POCHUTA	14.56
197	TACTIC	14.56
198	SIMON BOLIVAR MORALES	14.56
199	MERCADO QUETZALTENANGO	14.56
200	CHAJUL	14.56
201	SALCAJA	29.12
202	MERCADO SANTO TOMAS DE CASTILLA	14.56
203	PATULUL	14.56
204	CHICACAO	14.56
205	IGSS ZONA 9	14.56
206	MEGA PRIMMA	29.12
207	CHIQUIMULA CENTRO	14.56
209	EL NARANJO	29.12
210	MERCADO TERMINAL ZONA 4	14.56
211	MERCADO LA FLORIDA	14.56
213	MERCADO LA PARROQUIA	14.56
216	MUNICIPALIDAD DE VILLA NUEVA	14.56
219	LOS OLIVOS	14.56
220	MONJAS	14.56
221	SANTA LUCIA COTZ	14.56
222	SAN ANDRES SAJCABAJA	14.56
225	MERCADO EL GUARDA	14.56
227	SANTO TOMAS DE CASTILLA	14.56
228	SAT ZONA 9	29.12
231	SAN PABLO SAN MARCOS	14.56
232	SAN JUAN SACATEPEQUEZ	14.56
233	ALMOLONGA	14.56
235	CENTRO COMERCIAL MONSERRAT	14.56
237	BOCA DEL MONTE	14.56
238	ZACUALPA	14.56
240	SANTA ANA HUISTA	14.56
241	RIO HONDO	14.56
242	SAT MAZATENANGO	14.56
244	HOSPITAL ROOSEVELT	14.56
249	AUTOBANCO - QUETZALTENANGO	14.56
251	LIVINGSTON	14.56
256	USAC	14.56
257	AUTOBANCO - PETAPA	14.56
260	MERCADO SAN JOSE MERCANTIL	14.56
263	MERCADO LA PRESIDENTA	14.56
265	SAN FELIPE RETALHULEU	14.56
266	CONCEPCION LAS MINAS	14.56
272	SANSARE	14.56
273	ESCUINTLA CENTRO	14.56
275	MAZATENANGO PLAZA AMERICA	14.56
276	MERCADO COLON	14.56
278	MERCADO LA REFORMITA	14.56
279	MERCADO BETHANIA	14.56
280	SAN ANDRES ITZAPA	14.56
283	AUTOBANCO ZACAPA TAMARINDAL	14.56
284	ESTANZUELA	14.56
285	CHIANTLA	14.56
286	SAN IDELFONSO IXTAHUACAN	14.56
288	ORATORIO	14.56
292	NAHUALA	14.56
