rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	29.38
2	BARBERENA	14.69
4	JUTIAPA	14.69
5	GUASTATOYA	29.38
6	ZACAPA	14.69
8	ESQUIPULAS	14.69
9	PUERTO BARRIOS	14.69
10	SALAMA	14.69
11	PANZOS	14.69
13	MONJA BLANCA	14.69
14	TECPAN	14.69
15	CHIQUIMULILLA	14.69
16	FRAY BARTOLOME DE LAS CASAS	14.69
17	SANTA ELENA	14.69
18	CHIMALTENANGO	14.69
20	MELCHOR DE MENCOS	14.69
21	TOTONICAPAN	14.69
22	SOLOLA	14.69
24	EL TUMBADOR	14.69
25	MALACATAN	14.69
29	PUEBLO NUEVO VIÑAS	14.69
30	LA MAQUINA	14.69
31	EL QUICHE	29.38
32	HUEHUETENANGO	14.69
35	SANTIAGO ATITLAN	14.69
36	MORALES	14.69
38	PATZUN	14.69
40	PLAYA GRANDE	14.69
41	LA DEMOCRACIA	14.69
42	IPALA	14.69
43	EL ESTOR	14.69
44	LA TINTA	14.69
45	LA MESILLA	29.38
46	SANTO TOMAS CHICHE	14.69
47	ALOTENANGO	14.69
49	CARCHA	29.38
50	RAXRUJA	14.69
52	NEBAJ	14.69
53	JOYABAJ	14.69
54	USPANTAN	14.69
55	SOLOMA	14.69
56	SAN ANTONIO HUISTA	14.69
57	SANTA CRUZ BARILLAS	14.69
58	CUILCO	14.69
59	SAN CRISTOBAL VERAPAZ	14.69
60	SACAPULAS	14.69
61	EL CHAL DOLORES	14.69
62	SAN LUIS	14.69
64	LAS CRUCES	14.69
65	RABINAL	14.69
66	SAN MARTIN JILOTEPEQUE	14.69
68	JALPATAGUA	14.69
69	GUALAN	14.69
70	SAN PEDRO NECTA	14.69
71	AGENCIA  18 CALLE ZONA 1	14.69
72	RIO DULCE	14.69
73	AGUACATAN	14.69
74	MINISTERIO DE FINANZAS PUBLICAS 	14.69
75	SAN CARLOS SIJA	14.69
76	CIUDAD PEDRO DE ALVARADO	14.69
79	MOMOSTENANGO	29.38
80	ANEXO NUEVA SANTA ROSA 	14.69
82	CAMOTAN	14.69
87	OLOPA	14.69
88	LA UNION	14.69
89	JACALTENANGO	14.69
90	PACHALUM	14.69
92	SAN MARCOS	29.38
93	SAN PEDRO LA LAGUNA	29.38
95	SAN FRANCISCO EL ALTO	29.38
98	CHACTE	14.69
99	OFICINA ZONA 1 (CENTRO)	14.69
100	ADUANA VALLE NUEVO	14.69
101	SAN CRISTOBAL FRONTERA	29.38
104	ADUANA PUERTO BARRIOS	14.69
105	SIJA QUETZALTENANGO	14.69
106	ADUANA AGUA CALIENTE	14.69
108	EL FLORIDO	14.69
109	ROOSEVELTH	44.08
110	ADUANA PEDRO DE ALVARADO	14.69
111	CUILAPA	14.69
113	ADUANA MELCHOR DE MENCOS	14.69
114	PUERTO QUETZAL	14.69
116	TODOS SANTOS HUEHUETENANGO	14.69
117	NENTON	14.69
118	BOULEVAR LIBERACION	14.69
119	SANTA MARIA IXHUATAN	14.69
120	AUTOBANCO ASUNCION MITA	14.69
121	CHICHICASTENANGO	14.69
124	COBAN IMPERIAL	29.38
125	CHISEC	14.69
126	SAN MANUEL CHAPARRON	14.69
127	AUTOBANCO TELEMAN	14.69
128	CONCEPCION HUISTA	14.69
129	EL CHOL	14.69
130	GRANADOS	14.69
131	REFORMA SAN MARCOS	14.69
132	AGENCIA ZONA 6 (MARTI)	14.69
133	C.C. PLAZA MAGDALENA	14.69
134	AGENCIA ZONA 7	14.69
135	AGENCIA ZONA 5	14.69
136	METRONORTE	29.38
137	VILLA NUEVA	14.69
138	AGENCIA MIXCO	14.69
139	AGENCIA ZONA 19	14.69
141	TERMINAL HUEHUETENANGO	14.69
142	PLAZA PALMERAS	14.69
144	SAN BENITO PETEN	14.69
146	INGUAT	14.69
147	AGENCIA SAT ZACAPA	29.38
148	COLONIAL ANTIGUA	14.69
149	SANTA EULALIA	14.69
151	SALAMA CENTRO	14.69
152	AUTOBANCO PROGRESO JUTIAPA	14.69
153	AUTOBANCO CIUDAD SAN CRISTOBAL	14.69
154	AGUA BLANCA	14.69
155	AUTOBANCO LAS MINAS ESQUIPULAS	14.69
156	PANAJACHEL	14.69
157	SAT - JALAPA	14.69
158	SAMAYAC	14.69
159	SAN ANDRES SEMETABAJ	14.69
160	AUTOBANCO TEXACO CHIQUIMULA	14.69
162	CAMOJA	14.69
163	CUNEN	14.69
164	AMATITLAN	29.38
165	XELAJU	29.38
166	TECULUTAN	14.69
168	LA TORRE	14.69
169	EL PROGRESO	14.69
170	C.D.R.O	14.69
173	19 CALLE	14.69
174	PURULHA	14.69
175	ORGANISMO JUDICIAL	14.69
177	LA DEMOCRACIA ESCUINTLA	14.69
178	AEROPUERTO	44.08
179	PALIN	14.69
180	SANARATE	14.69
181	CHICAMAN	14.69
183	PRISA	14.69
184	TERMINAL JUTIAPA	29.38
185	IGSS CENTRAL	14.69
187	SAN ANTONIO SUCHITEPEQUEZ	14.69
188	IGSS ZONA 5	14.69
189	19 AVENIDA ZONA 6	14.69
190	IGSS ZONA 11	14.69
192	IGSS MONTE REAL	14.69
193	IGSS RETALHULEU	14.69
194	IGSS PAMPLONA	14.69
195	TIQUISATE	14.69
196	SAN MIGUEL POCHUTA	14.69
197	TACTIC	14.69
198	SIMON BOLIVAR MORALES	14.69
199	MERCADO QUETZALTENANGO	14.69
200	CHAJUL	14.69
201	SALCAJA	29.38
202	MERCADO SANTO TOMAS DE CASTILLA	14.69
203	PATULUL	14.69
204	CHICACAO	14.69
205	IGSS ZONA 9	14.69
206	MEGA PRIMMA	29.38
207	CHIQUIMULA CENTRO	14.69
209	EL NARANJO	29.38
210	MERCADO TERMINAL ZONA 4	14.69
211	MERCADO LA FLORIDA	14.69
213	MERCADO LA PARROQUIA	14.69
216	MUNICIPALIDAD DE VILLA NUEVA	14.69
219	LOS OLIVOS	14.69
220	MONJAS	14.69
221	SANTA LUCIA COTZ	14.69
222	SAN ANDRES SAJCABAJA	14.69
225	MERCADO EL GUARDA	14.69
227	SANTO TOMAS DE CASTILLA	14.69
228	SAT ZONA 9	29.38
231	SAN PABLO SAN MARCOS	14.69
232	SAN JUAN SACATEPEQUEZ	14.69
233	ALMOLONGA	14.69
235	CENTRO COMERCIAL MONSERRAT	14.69
237	BOCA DEL MONTE	14.69
238	ZACUALPA	14.69
240	SANTA ANA HUISTA	14.69
241	RIO HONDO	14.69
242	SAT MAZATENANGO	14.69
244	HOSPITAL ROOSEVELT	14.69
249	AUTOBANCO - QUETZALTENANGO	14.69
251	LIVINGSTON	14.69
256	USAC	14.69
257	AUTOBANCO - PETAPA	14.69
260	MERCADO SAN JOSE MERCANTIL	14.69
263	MERCADO LA PRESIDENTA	14.69
265	SAN FELIPE RETALHULEU	14.69
266	CONCEPCION LAS MINAS	14.69
272	SANSARE	14.69
273	ESCUINTLA CENTRO	14.69
275	MAZATENANGO PLAZA AMERICA	14.69
276	MERCADO COLON	14.69
278	MERCADO LA REFORMITA	14.69
279	MERCADO BETHANIA	14.69
280	SAN ANDRES ITZAPA	14.69
283	AUTOBANCO ZACAPA TAMARINDAL	14.69
284	ESTANZUELA	14.69
285	CHIANTLA	14.69
286	SAN IDELFONSO IXTAHUACAN	14.69
288	ORATORIO	14.69
292	NAHUALA	14.69
293	SANTA LUCIA UTATLAN	14.69
294	MORAZAN	14.69
295	TACANA	14.69
296	SAN JUAN OSTUNCALCO	14.69
297	PARRAMOS	14.69
298	EL FRUTAL	14.69
300	INFOM	14.69
301	ORGANISMO JUDICIAL QUETZALTENANGO	29.38
302	QUEZADA	14.69
303	SIBILIA	14.69
