rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	28.41
2	BARBERENA	14.21
4	JUTIAPA	14.21
5	GUASTATOYA	28.41
6	ZACAPA	14.21
8	ESQUIPULAS	14.21
9	PUERTO BARRIOS	14.21
10	SALAMA	14.21
11	PANZOS	14.21
13	MONJA BLANCA	14.21
14	TECPAN	14.21
15	CHIQUIMULILLA	14.21
16	FRAY BARTOLOME DE LAS CASAS	14.21
17	SANTA ELENA	14.21
18	CHIMALTENANGO	28.41
20	MELCHOR DE MENCOS	28.41
21	TOTONICAPAN	14.21
22	SOLOLA	14.21
24	EL TUMBADOR	14.21
25	MALACATAN	14.21
29	PUEBLO NUEVO VIÑAS	14.21
30	LA MAQUINA	14.21
31	EL QUICHE	28.41
32	HUEHUETENANGO	14.21
35	SANTIAGO ATITLAN	14.21
36	MORALES	14.21
38	PATZUN	14.21
40	PLAYA GRANDE	14.21
41	LA DEMOCRACIA	14.21
42	IPALA	14.21
43	EL ESTOR	14.21
44	LA TINTA	14.21
45	LA MESILLA	28.41
46	SANTO TOMAS CHICHE	14.21
47	ALOTENANGO	14.21
49	CARCHA	28.41
50	RAXRUJA	14.21
52	NEBAJ	14.21
53	JOYABAJ	14.21
54	USPANTAN	14.21
55	SOLOMA	14.21
56	SAN ANTONIO HUISTA	14.21
57	SANTA CRUZ BARILLAS	14.21
58	CUILCO	14.21
59	SAN CRISTOBAL VERAPAZ	14.21
60	SACAPULAS	14.21
61	EL CHAL DOLORES	14.21
62	SAN LUIS	14.21
63	SAYAXCHE	28.41
64	LAS CRUCES	14.21
65	RABINAL	14.21
66	SAN MARTIN JILOTEPEQUE	14.21
68	JALPATAGUA	14.21
69	GUALAN	14.21
70	SAN PEDRO NECTA	14.21
71	AGENCIA  18 CALLE ZONA 1	14.21
72	RIO DULCE	14.21
73	AGUACATAN	14.21
74	MINISTERIO DE FINANZAS PUBLICAS 	14.21
75	SAN CARLOS SIJA	14.21
76	CIUDAD PEDRO DE ALVARADO	14.21
78	CENTRAL DE MAYOREO (CENMA)	14.21
79	MOMOSTENANGO	28.41
80	ANEXO NUEVA SANTA ROSA 	14.21
81	ATESCATEMPA	14.21
82	CAMOTAN	14.21
87	OLOPA	14.21
88	LA UNION	14.21
89	JACALTENANGO	14.21
90	PACHALUM	14.21
92	SAN MARCOS	28.41
93	SAN PEDRO LA LAGUNA	28.41
95	SAN FRANCISCO EL ALTO	28.41
98	CHACTE	14.21
99	OFICINA ZONA 1 (CENTRO)	14.21
100	ADUANA VALLE NUEVO	14.21
101	SAN CRISTOBAL FRONTERA	28.41
103	ADUANA EL CARMEN	14.21
104	ADUANA PUERTO BARRIOS	14.21
105	SIJA QUETZALTENANGO	14.21
106	ADUANA AGUA CALIENTE	14.21
108	EL FLORIDO	14.21
109	ROOSEVELTH	42.62
110	ADUANA PEDRO DE ALVARADO	14.21
111	CUILAPA	14.21
113	ADUANA MELCHOR DE MENCOS	14.21
114	PUERTO QUETZAL	14.21
116	TODOS SANTOS HUEHUETENANGO	14.21
117	NENTON	14.21
118	BOULEVAR LIBERACION	14.21
119	SANTA MARIA IXHUATAN	14.21
120	AUTOBANCO ASUNCION MITA	14.21
121	CHICHICASTENANGO	14.21
124	COBAN IMPERIAL	28.41
125	CHISEC	14.21
126	SAN MANUEL CHAPARRON	14.21
127	AUTOBANCO TELEMAN	14.21
128	CONCEPCION HUISTA	14.21
129	EL CHOL	14.21
130	GRANADOS	14.21
131	REFORMA SAN MARCOS	14.21
132	AGENCIA ZONA 6 (MARTI)	14.21
133	C.C. PLAZA MAGDALENA	14.21
134	AGENCIA ZONA 7	14.21
135	AGENCIA ZONA 5	14.21
136	METRONORTE	28.41
137	VILLA NUEVA	14.21
138	AGENCIA MIXCO	14.21
139	AGENCIA ZONA 19	28.41
140	SAT FLORES	14.21
141	TERMINAL HUEHUETENANGO	14.21
142	PLAZA PALMERAS	14.21
144	SAN BENITO PETEN	14.21
146	INGUAT	14.21
147	AGENCIA SAT ZACAPA	28.41
148	COLONIAL ANTIGUA	14.21
149	SANTA EULALIA	14.21
150	SAT - CHIMALTENANGO	14.21
151	SALAMA CENTRO	14.21
152	AUTOBANCO PROGRESO JUTIAPA	14.21
153	AUTOBANCO CIUDAD SAN CRISTOBAL	14.21
154	AGUA BLANCA	14.21
155	AUTOBANCO LAS MINAS ESQUIPULAS	14.21
156	PANAJACHEL	14.21
157	SAT - JALAPA	14.21
158	SAMAYAC	14.21
159	SAN ANDRES SEMETABAJ	14.21
160	AUTOBANCO TEXACO CHIQUIMULA	14.21
162	CAMOJA	14.21
163	CUNEN	14.21
164	AMATITLAN	28.41
165	XELAJU	28.41
166	TECULUTAN	14.21
168	LA TORRE	14.21
169	EL PROGRESO	14.21
170	C.D.R.O	14.21
173	19 CALLE	14.21
174	PURULHA	14.21
175	ORGANISMO JUDICIAL	14.21
177	LA DEMOCRACIA ESCUINTLA	14.21
178	AEROPUERTO	42.62
179	PALIN	14.21
180	SANARATE	14.21
181	CHICAMAN	14.21
183	PRISA	14.21
184	TERMINAL JUTIAPA	28.41
185	IGSS CENTRAL	14.21
187	SAN ANTONIO SUCHITEPEQUEZ	14.21
188	IGSS ZONA 5	14.21
189	19 AVENIDA ZONA 6	14.21
190	IGSS ZONA 11	14.21
192	IGSS MONTE REAL	14.21
193	IGSS RETALHULEU	14.21
194	IGSS PAMPLONA	14.21
195	TIQUISATE	14.21
196	SAN MIGUEL POCHUTA	14.21
197	TACTIC	14.21
198	SIMON BOLIVAR MORALES	14.21
199	MERCADO QUETZALTENANGO	14.21
200	CHAJUL	14.21
201	SALCAJA	28.41
202	MERCADO SANTO TOMAS DE CASTILLA	14.21
203	PATULUL	14.21
204	CHICACAO	14.21
205	IGSS ZONA 9	14.21
206	MEGA PRIMMA	28.41
207	CHIQUIMULA CENTRO	14.21
209	EL NARANJO	28.41
210	MERCADO TERMINAL ZONA 4	14.21
211	MERCADO LA FLORIDA	14.21
213	MERCADO LA PARROQUIA	14.21
216	MUNICIPALIDAD DE VILLA NUEVA	14.21
219	LOS OLIVOS	14.21
220	MONJAS	14.21
221	SANTA LUCIA COTZ	14.21
222	SAN ANDRES SAJCABAJA	14.21
225	MERCADO EL GUARDA	14.21
227	SANTO TOMAS DE CASTILLA	14.21
228	SAT ZONA 9	28.41
231	SAN PABLO SAN MARCOS	14.21
232	SAN JUAN SACATEPEQUEZ	14.21
233	ALMOLONGA	14.21
