Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
1737	847	CUNOROC	CESA		128	415.00
1740	840	TAJUMUCO	CESA		128	415.00
1658	824	SANTA MARIA CHIQUIMULA	CESA		0	0.00
1620	813	CONGUACO	CESA		128	415.00
1548	784	GODINEZ	CESA		256	650.00
1341	680	TAJUMULCO	CESA		256	650.00
1193	632	ZAPOTITLAN	CESA		128	415.00
1745	627	LA PARROQUIA ZONA REYNA	CESA		128	415.00
1108	605	EL PALMAR QUETZALTENANGO	CESA		128	415.00
1098	594	CABALLO BLANCO	CESA		256	650.00
1575	558	SAN MARTIN SACATEPEQUEZ	CESA		128	415.00
1074	537	GRAN KARMEL	CESA		128	415.00
1085	535	TIERRA BLANCA	CESA		256	650.00
1481	521	SANTIAGO CHIMALTENANGO	CESA		128	415.00
1094	506	HORCONES 	CESA		256	650.00
1571	450	SAN CARLOS ALZATATE	CESA		128	415.00
815	466	SALTAN	CESA	0	128	415.00
1143	130	GRANADOS	CESA	0	256	650.00
785	448	EL QUETZAL	CESA	22448	128	415.00
