Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
891	17	17	SANTA ELENA	TELNOR	22017	128	250.00
1349	44	44	LA TINTA	TELNOR	22185	128	250.00
577	45	45	LA MESILLA	TELNOR	22045	128	250.00
1322	50	50	RAXRUJA	TELNOR	22050	128	250.00
1791	53	53	JOYABAJ	TELNOR	22259	128	250.00
1498	56	56	SAN ANTONIO HUISTA	TELNOR		128	250.00
1453	64	64	LAS CRUCES	TELNOR	22064	128	250.00
907	68	68	JALPATAGUA	TELNOR	22134	128	250.00
791	101	1010001	ADUANA SAN CRISTOBAL 2	TELNOR	22101	128	250.00
793	103	103	ADUANA EL CARMEN	TELNOR	22103	128	250.00
1497	116	116	TODOS SANTOS HUEHUETENANGO	TELNOR		128	250.00
1933	121	121	CHICHICASTENANGO	TELNOR		128	375.00
1566	122	122	CAHABON	TELNOR	22189	256	375.00
263	123	123	TUCURU	TELNOR	22184	256	375.00
1846	145	897	DISTRIBUIDORA LOS ENCUENTROS	TELNOR	22642	128	375.00
86	182	182	SAN MIGUEL ACATAN	TELNOR	22164	128	375.00
579	200	200	CHAJUL	TELNOR	22205	128	250.00
1466	222	222	SAN ANDRES SAJCABAJA	TELNOR	22201	128	375.00
1594	231	231	SAN PABLO SAN MARCOS	TELNOR		128	250.00
805	238	238	ZACUALPA	TELNOR	22199	128	250.00
730	243	243	LANQUIN	TELNOR	22219	128	375.00
1787	254	254	SENAHU	TELNOR	22188	256	375.00
1538	258	258	LA LIBERTAD	TELNOR		128	250.00
2062	292	292	NAHUALA	TELNOR	22688	256	375.00
1545	316	316	SAN JOSE POAQUIL	TELNOR	22207	128	250.00
1978	328	328	LA LIBERTAD HUEHUETENANGO	TELNOR	22159	128	375.00
1494	338	338	SAN ANTONIO ILOTENANGO	TELNOR		128	250.00
744	354	354	CHAHAL	TELNOR	22193	128	375.00
877	383	383	LAS ESCOBAS	TELNOR	22196	128	375.00
2006	444	444	JACALTENANGO 2	TELNOR	22679	128	250.00
1613	471	471	POLOGUA	TELNOR	22130	128	250.00
1934	480	480	CEMEX TECUM UMAN	TELNOR		128	250.00
1372	485	485	SAN JORGE ZACAPA	TELNOR	22170	128	250.00
1350	487	487	CONCEPCION CHIQUIRICHAPA	TELNOR	22216	128	250.00
974	510	510	SAN JOSE LA ARADA	TELNOR	22261	128	375.00
1021	528	528	GASOLINERA SCOTT EL JOCOTILLO	TELNOR	22315	128	375.00
1309	529	529	TAMAHU	TELNOR	22285	128	375.00
932	533	533	AUTOBANCO PLAYA GRANDE	TELNOR	22533	128	250.00
1457	560	560	SANTA APOLONIA	TELNOR		128	250.00
1814	581	581	EL ADELANTO	TELNOR	22634	128	375.00
1174	609	609	EL ASINTAL	TELNOR		128	375.00
1130	617	617	SANTA LUCIA LA REFORMA	TELNOR		128	375.00
1449	695	695	MINI MUNI CUBIL	TELNOR		256	375.00
2020	872	872	BUENOS AIRES	TELNOR	22680	128	375.00
989	920	1026	MOVIL AUTODIRECCIONABLE	TELNOR	22001	256	375.00
831	920	1021	MOVIL 1	TELNOR	29191	128	375.00
887	920	1024	MOVIL 5	TELNOR	29195	128	375.00
1952	920	1027	MOVIL 7	TELNOR		128	375.00
832	920	1022	MOVIL 3	TELNOR	29193	256	375.00
888	920	1025	MOVIL 6	TELNOR	29196	128	375.00
834	920	1007	TELNOR / NOC	TELNOR	29190	1024	550.00
833	920	1023	MOVIL 4	TELNOR	29194	128	375.00
