2881;10.170.10.250;1010;AGE1010
2926;10.161.8.250;108;AGE108
2937;10.165.40.250;540;AGE540
2938;10.165.40.251;540;AGE540
2942;10.167.51.250;751;AGE751
2974;10.160.10.250;10;AGE010
3003;10.163.84.250;384;AGE384
3028;10.160.80.250;80;AGE080
3033;10.170.15.250;1015;AGE1015
3033;10.170.15.250;1015;AGE1015
3049;10.170.0.250;1000;AGE1000
3056;10.163.94.250;394;AGE394
3158;10.170.20.250;1020;AGE1020
3159;10.170.20.251;1020;AGE1020
3161;10.170.23.250;1023;AGE1023
3162;10.170.23.251;1023;AGE1023
3273;10.170.13.250;1013;AGE1013
3297;10.163.27.250;327;AGE327
3298;10.160.78.250;78;AGE078
3328;10.160.59.250;59;AGE059
3348;10.163.42.250;342;AGE342
3348;10.163.42.250;342;AGE342
3381;10.167.83.250;783;AGE783
3382;10.167.55.250;755;AGE755
3387;10.166.86.250;686;AGE686
3387;10.166.86.250;686;AGE686
3388;10.166.29.250;629;AGE629
3390;10.170.14.250;1014;AGE1014
3431;10.165.70.250;570;AGE570
3432;10.165.9.250;509;AGE509
3437;10.167.34.250;734;AGE734
3460;10.167.71.250;771;AGE771
3471;10.163.45.250;345;AGE345
3472;10.162.54.250;254;AGE254
3473;10.163.47.250;347;AGE347
3488;10.164.44.250;444;AGE444
3522;10.162.19.250;219;AGE219
3524;10.161.29.250;129;AGE129
3553;10.160.76.251;76;AGE076
3562;10.167.4.250;704;AGE704
3563;10.166.79.251;679;AGE679
3566;10.162.43.250;243;AGE243
3579;10.163.81.250;381;AGE381
3663;10.166.28.250;628;AGE628
3690;10.161.62.250;162;AGE162
3691;10.170.19.250;1019;AGE1019
3741;10.162.28.250;228;AGE228
3748;10.162.56.251;256;AGE256
