Host	% Time Up	% Time Down	% Time Unreachable	% Time Undetermined
cam220	29.293% (29.751%)	69.168% (70.249%)	0.000% (0.000%)	1.538%
cam221	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam221B	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam222	96.251% (99.815%)	0.178% (0.185%)	0.000% (0.000%)	3.571%
cam223	98.471% (98.471%)	1.529% (1.529%)	0.000% (0.000%)	0.000%
cam224	85.585% (88.755%)	10.843% (11.245%)	0.000% (0.000%)	3.571%
cam225	0.000% (0.000%)	98.461% (100.000%)	0.000% (0.000%)	1.539%
cam227	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam229	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam230	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam232	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam234	99.822% (99.822%)	0.178% (0.178%)	0.000% (0.000%)	0.000%
cam235	95.552% (99.091%)	0.876% (0.909%)	0.000% (0.000%)	3.571%
cam236	81.733% (84.760%)	14.696% (15.240%)	0.000% (0.000%)	3.571%
cam237	98.502% (98.502%)	1.498% (1.498%)	0.000% (0.000%)	0.000%
cam238	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam240	96.254% (99.818%)	0.175% (0.182%)	0.000% (0.000%)	3.571%
cam241	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam243	96.253% (99.818%)	0.175% (0.182%)	0.000% (0.000%)	3.571%
cam247	96.090% (99.649%)	0.339% (0.351%)	0.000% (0.000%)	3.571%
cam248	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam249	95.110% (96.803%)	3.141% (3.197%)	0.000% (0.000%)	1.749%
cam250	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam251	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam252	74.110% (76.855%)	22.319% (23.145%)	0.000% (0.000%)	3.571%
cam253	99.824% (99.824%)	0.176% (0.176%)	0.000% (0.000%)	0.000%
cam254	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam256	86.981% (90.203%)	9.448% (9.797%)	0.000% (0.000%)	3.571%
cam257	99.825% (99.825%)	0.175% (0.175%)	0.000% (0.000%)	0.000%
cam258	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam259	95.374% (98.906%)	1.055% (1.094%)	0.000% (0.000%)	3.571%
cam260	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam261	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam262	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam262B	0.000% (0.000%)	97.398% (100.000%)	0.000% (0.000%)	2.602%
cam263	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam264	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam266	95.727% (99.272%)	0.702% (0.728%)	0.000% (0.000%)	3.571%
cam267	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam268	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam269	95.083% (98.604%)	1.346% (1.396%)	0.000% (0.000%)	3.571%
cam269B	95.418% (98.952%)	1.011% (1.048%)	0.000% (0.000%)	3.571%
cam270	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam271	88.486% (91.763%)	7.943% (8.237%)	0.000% (0.000%)	3.571%
cam272	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam273	96.255% (99.820%)	0.174% (0.180%)	0.000% (0.000%)	3.571%
cam274	0.000% (0.000%)	98.459% (100.000%)	0.000% (0.000%)	1.541%
cam275	95.913% (99.466%)	0.515% (0.534%)	0.000% (0.000%)	3.571%
cam276	93.720% (95.187%)	4.738% (4.813%)	0.000% (0.000%)	1.542%
cam277	77.958% (77.958%)	22.042% (22.042%)	0.000% (0.000%)	0.000%
cam278	95.808% (95.808%)	4.192% (4.192%)	0.000% (0.000%)	0.000%
cam279	97.078% (97.078%)	2.922% (2.922%)	0.000% (0.000%)	0.000%
cam280	92.297% (95.715%)	4.131% (4.285%)	0.000% (0.000%)	3.571%
cam281	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam282	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam283	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam284	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam285	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam286	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam287	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam288	93.325% (96.781%)	3.104% (3.219%)	0.000% (0.000%)	3.571%
cam289	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam290	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam291	95.728% (99.274%)	0.701% (0.726%)	0.000% (0.000%)	3.571%
cam293	95.723% (99.269%)	0.705% (0.731%)	0.000% (0.000%)	3.571%
cam294	96.003% (97.437%)	2.525% (2.563%)	0.000% (0.000%)	1.472%
cam296	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam298	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam302	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam306	93.687% (97.157%)	2.742% (2.843%)	0.000% (0.000%)	3.571%
cam307	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam308	95.385% (98.918%)	1.044% (1.082%)	0.000% (0.000%)	3.571%
cam309	96.102% (99.661%)	0.326% (0.339%)	0.000% (0.000%)	3.571%
cam314	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam316	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam317	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam318	95.077% (95.077%)	4.923% (4.923%)	0.000% (0.000%)	0.000%
cam319	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam320	96.079% (99.637%)	0.350% (0.363%)	0.000% (0.000%)	3.571%
cam322	99.500% (99.500%)	0.500% (0.500%)	0.000% (0.000%)	0.000%
cam324	96.254% (99.819%)	0.174% (0.181%)	0.000% (0.000%)	3.571%
cam325	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam326	96.077% (99.635%)	0.352% (0.365%)	0.000% (0.000%)	3.571%
cam327	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam328	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam329	80.976% (83.406%)	16.111% (16.594%)	0.000% (0.000%)	2.913%
cam32B	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam330	96.106% (99.665%)	0.323% (0.335%)	0.000% (0.000%)	3.571%
cam332	96.079% (99.637%)	0.350% (0.363%)	0.000% (0.000%)	3.571%
cam334	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam335	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam336	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam337	94.906% (98.421%)	1.523% (1.579%)	0.000% (0.000%)	3.571%
cam338	86.356% (89.555%)	10.072% (10.445%)	0.000% (0.000%)	3.571%
cam339	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33a	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33b	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33c	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33d	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33e	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33f	96.250% (99.814%)	0.179% (0.186%)	0.000% (0.000%)	3.571%
cam33g	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33h	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33i	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33j	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam33k	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam340	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam341	88.841% (88.841%)	11.159% (11.159%)	0.000% (0.000%)	0.000%
cam342	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam343	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam344	96.267% (99.833%)	0.161% (0.167%)	0.000% (0.000%)	3.571%
cam347	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam348	71.286% (73.927%)	25.142% (26.073%)	0.000% (0.000%)	3.571%
cam349	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam350	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam354	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam355	0.000% (0.000%)	98.526% (100.000%)	0.000% (0.000%)	1.474%
cam358	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam360	95.738% (99.284%)	0.691% (0.716%)	0.000% (0.000%)	3.571%
cam361	0.000% (0.000%)	98.526% (100.000%)	0.000% (0.000%)	1.474%
cam362	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam363	91.061% (91.061%)	8.939% (8.939%)	0.000% (0.000%)	0.000%
cam364	96.254% (99.819%)	0.175% (0.181%)	0.000% (0.000%)	3.571%
cam366	97.260% (97.260%)	2.740% (2.740%)	0.000% (0.000%)	0.000%
cam367	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam368	96.254% (99.819%)	0.174% (0.181%)	0.000% (0.000%)	3.571%
cam370	94.632% (98.137%)	1.796% (1.863%)	0.000% (0.000%)	3.571%
cam371	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam372	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam374	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam375	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam376	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam378	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam379	93.601% (95.002%)	4.925% (4.998%)	0.000% (0.000%)	1.474%
cam381	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam381b	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam382	93.247% (96.701%)	3.182% (3.299%)	0.000% (0.000%)	3.571%
cam383	93.169% (96.620%)	3.259% (3.380%)	0.000% (0.000%)	3.571%
cam384	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam385	89.195% (92.498%)	7.234% (7.502%)	0.000% (0.000%)	3.571%
cam386	78.157% (81.052%)	18.272% (18.948%)	0.000% (0.000%)	3.571%
cam389	96.253% (99.817%)	0.176% (0.183%)	0.000% (0.000%)	3.571%
cam391	91.864% (95.266%)	4.565% (4.734%)	0.000% (0.000%)	3.571%
cam394	93.517% (96.981%)	2.911% (3.019%)	0.000% (0.000%)	3.571%
cam395	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam396	65.656% (68.088%)	30.773% (31.912%)	0.000% (0.000%)	3.571%
cam397	94.671% (98.177%)	1.758% (1.823%)	0.000% (0.000%)	3.571%
cam398	96.253% (99.818%)	0.176% (0.182%)	0.000% (0.000%)	3.571%
cam400	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam401	76.896% (79.744%)	19.533% (20.256%)	0.000% (0.000%)	3.571%
cam402	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam403	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam404	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam405	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam406	90.392% (93.740%)	6.036% (6.260%)	0.000% (0.000%)	3.571%
cam407	0.000% (0.000%)	100.000% (100.000%)	0.000% (0.000%)	0.000%
cam408	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam409	99.466% (99.466%)	0.534% (0.534%)	0.000% (0.000%)	0.000%
cam410	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam411	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam412	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam413	99.473% (99.473%)	0.527% (0.527%)	0.000% (0.000%)	0.000%
cam414	86.016% (86.016%)	13.984% (13.984%)	0.000% (0.000%)	0.000%
cam415	90.546% (91.902%)	7.978% (8.098%)	0.000% (0.000%)	1.476%
cam416	96.086% (99.645%)	0.342% (0.355%)	0.000% (0.000%)	3.571%
cam417	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam418	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam420	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam424	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam425	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam426	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam426b	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam427	96.071% (99.630%)	0.357% (0.370%)	0.000% (0.000%)	3.571%
cam428	89.185% (92.488%)	7.244% (7.512%)	0.000% (0.000%)	3.571%
cam428B	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam429	98.466% (98.466%)	1.534% (1.534%)	0.000% (0.000%)	0.000%
cam430	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam431	95.740% (99.285%)	0.689% (0.715%)	0.000% (0.000%)	3.571%
cam432	92.469% (92.469%)	7.531% (7.531%)	0.000% (0.000%)	0.000%
cam433	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam434	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam435	96.266% (99.831%)	0.163% (0.169%)	0.000% (0.000%)	3.571%
cam436	96.254% (99.819%)	0.175% (0.181%)	0.000% (0.000%)	3.571%
cam437	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam438	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam440	95.920% (99.472%)	0.509% (0.528%)	0.000% (0.000%)	3.571%
cam441	94.360% (97.855%)	2.069% (2.145%)	0.000% (0.000%)	3.571%
cam442	95.736% (99.282%)	0.692% (0.718%)	0.000% (0.000%)	3.571%
cam443	95.235% (98.762%)	1.194% (1.238%)	0.000% (0.000%)	3.571%
cam444	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445a	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445b	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445c	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445d	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445e	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445f	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445g	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445h	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445i	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445j	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445k	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445l	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445m	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445n	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445o	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam445p	0.000% (0.000%)	98.523% (100.000%)	0.000% (0.000%)	1.477%
cam445q	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam447	96.254% (99.819%)	0.175% (0.181%)	0.000% (0.000%)	3.571%
cam449	92.494% (95.920%)	3.935% (4.080%)	0.000% (0.000%)	3.571%
cam450	94.058% (97.542%)	2.371% (2.458%)	0.000% (0.000%)	3.571%
cam451	93.414% (96.200%)	3.690% (3.800%)	0.000% (0.000%)	2.896%
cam455	96.253% (99.818%)	0.175% (0.182%)	0.000% (0.000%)	3.571%
cam457	95.900% (99.451%)	0.529% (0.549%)	0.000% (0.000%)	3.571%
cam458	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam459	94.673% (98.179%)	1.756% (1.821%)	0.000% (0.000%)	3.571%
cam460	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam461	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam462	96.252% (99.817%)	0.177% (0.183%)	0.000% (0.000%)	3.571%
cam463	96.251% (99.816%)	0.178% (0.184%)	0.000% (0.000%)	3.571%
cam464	92.554% (95.982%)	3.874% (4.018%)	0.000% (0.000%)	3.571%
cam465	96.017% (99.573%)	0.412% (0.427%)	0.000% (0.000%)	3.571%
cam466	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam467	95.737% (99.283%)	0.691% (0.717%)	0.000% (0.000%)	3.571%
cam470	96.266% (99.832%)	0.162% (0.168%)	0.000% (0.000%)	3.571%
cam471	95.770% (99.317%)	0.659% (0.683%)	0.000% (0.000%)	3.571%
cam472	95.376% (98.908%)	1.053% (1.092%)	0.000% (0.000%)	3.571%
cam474	94.856% (98.369%)	1.573% (1.631%)	0.000% (0.000%)	3.571%
cam476	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam477	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam478	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cam482	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam483	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam484	95.197% (98.722%)	1.232% (1.278%)	0.000% (0.000%)	3.571%
cam485	95.421% (98.955%)	1.008% (1.045%)	0.000% (0.000%)	3.571%
cam486	94.193% (97.682%)	2.235% (2.318%)	0.000% (0.000%)	3.571%
cam487	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam488	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam489	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam490	95.557% (99.096%)	0.871% (0.904%)	0.000% (0.000%)	3.571%
cam491	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam492	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam493	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam494	94.878% (98.392%)	1.550% (1.608%)	0.000% (0.000%)	3.571%
cam495	95.239% (98.766%)	1.190% (1.234%)	0.000% (0.000%)	3.571%
cam496	95.375% (98.907%)	1.054% (1.093%)	0.000% (0.000%)	3.571%
cam497	95.201% (98.727%)	1.228% (1.273%)	0.000% (0.000%)	3.571%
cam498	96.267% (99.832%)	0.162% (0.168%)	0.000% (0.000%)	3.571%
cam499	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam503	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam504	95.915% (99.467%)	0.514% (0.533%)	0.000% (0.000%)	3.571%
cam506	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam507	95.229% (98.756%)	1.200% (1.244%)	0.000% (0.000%)	3.571%
cam509	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam510	95.417% (98.950%)	1.012% (1.050%)	0.000% (0.000%)	3.571%
cam511	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam512	34.430% (35.705%)	61.999% (64.295%)	0.000% (0.000%)	3.571%
cam513	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam514	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam515	92.296% (95.714%)	4.133% (4.286%)	0.000% (0.000%)	3.571%
cam517	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam518	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam519	96.253% (99.818%)	0.175% (0.182%)	0.000% (0.000%)	3.571%
cam520	76.286% (79.112%)	20.142% (20.888%)	0.000% (0.000%)	3.571%
cam522	95.413% (98.946%)	1.016% (1.054%)	0.000% (0.000%)	3.571%
cam523	88.774% (90.286%)	9.551% (9.714%)	0.000% (0.000%)	1.675%
cam526	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam527	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam528	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam529	96.224% (99.788%)	0.205% (0.212%)	0.000% (0.000%)	3.571%
cam530	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam530b	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam531	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam532	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam533	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam534	96.254% (99.819%)	0.175% (0.181%)	0.000% (0.000%)	3.571%
cam535	86.776% (89.990%)	9.652% (10.010%)	0.000% (0.000%)	3.571%
cam536	95.745% (99.291%)	0.684% (0.709%)	0.000% (0.000%)	3.571%
cam537	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam538	95.766% (99.313%)	0.662% (0.687%)	0.000% (0.000%)	3.571%
cam539	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam540	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam541	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam545	96.249% (99.814%)	0.180% (0.186%)	0.000% (0.000%)	3.571%
cam554	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam555	96.254% (99.819%)	0.174% (0.181%)	0.000% (0.000%)	3.571%
cam556	96.260% (99.832%)	0.162% (0.168%)	0.000% (0.000%)	3.577%
cam557	96.104% (99.663%)	0.325% (0.337%)	0.000% (0.000%)	3.571%
cam558	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam559	96.253% (99.818%)	0.176% (0.182%)	0.000% (0.000%)	3.571%
cam560	96.191% (99.753%)	0.238% (0.247%)	0.000% (0.000%)	3.571%
cam561	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam561b	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam562	94.875% (97.365%)	2.568% (2.635%)	0.000% (0.000%)	2.558%
cam563	91.407% (94.793%)	5.021% (5.207%)	0.000% (0.000%)	3.571%
cam564	95.915% (99.467%)	0.514% (0.533%)	0.000% (0.000%)	3.571%
cam565	90.520% (93.873%)	5.908% (6.127%)	0.000% (0.000%)	3.571%
cam566	97.445% (99.641%)	0.351% (0.359%)	0.000% (0.000%)	2.204%
cam567	59.420% (60.313%)	39.099% (39.687%)	0.000% (0.000%)	1.481%
cam568	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam569	96.078% (99.636%)	0.351% (0.364%)	0.000% (0.000%)	3.571%
cam570	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam571	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam572	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam573	95.499% (99.036%)	0.930% (0.964%)	0.000% (0.000%)	3.571%
cam574	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam575	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam576	91.298% (94.679%)	5.131% (5.321%)	0.000% (0.000%)	3.571%
cam578	92.649% (96.081%)	3.779% (3.919%)	0.000% (0.000%)	3.571%
cam580	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam581	0.000% (0.000%)	98.516% (100.000%)	0.000% (0.000%)	1.484%
cam582	59.068% (59.957%)	39.449% (40.043%)	0.000% (0.000%)	1.483%
cam583	58.729% (59.614%)	39.787% (40.386%)	0.000% (0.000%)	1.484%
cam586	95.727% (99.272%)	0.702% (0.728%)	0.000% (0.000%)	3.571%
cam588	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam589	96.197% (99.760%)	0.231% (0.240%)	0.000% (0.000%)	3.571%
cam590	96.253% (99.818%)	0.175% (0.182%)	0.000% (0.000%)	3.571%
cam591	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam592	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam593	96.253% (99.818%)	0.176% (0.182%)	0.000% (0.000%)	3.571%
cam594	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam596	77.763% (80.643%)	18.665% (19.357%)	0.000% (0.000%)	3.571%
cam597	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam599	95.269% (98.797%)	1.160% (1.203%)	0.000% (0.000%)	3.571%
cam600	96.253% (99.818%)	0.175% (0.182%)	0.000% (0.000%)	3.571%
cam601	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam603	70.117% (72.714%)	26.311% (27.286%)	0.000% (0.000%)	3.571%
cam604	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam606	88.401% (91.676%)	8.027% (8.324%)	0.000% (0.000%)	3.571%
cam607	93.095% (96.543%)	3.333% (3.457%)	0.000% (0.000%)	3.571%
cam611	59.417% (60.312%)	39.098% (39.688%)	0.000% (0.000%)	1.485%
cam613	96.089% (99.648%)	0.339% (0.352%)	0.000% (0.000%)	3.571%
