en_proveedor	en_remoto	en_estado	en_nagios	rm_descripcion	rm_region	en_codigo_proveedor	en_fecha_activacion	sl_uptime	sl_downtime	sl_unreachable	sl_undetermined	en_costo_mensual
COLUMBUS	75	7	age075	SAN CARLOS SIJA	39	5021627	2016-10-03 00:00:00	98.716	1.284	0	0	252.00
CLARO	76	7	age076	CIUDAD PEDRO DE ALVARADO	3	8902375	2016-08-04 00:00:00	55.889	44.111	0	0	133.00
TIGO	77	7	age077	SAN JUAN LA LAGUNA	17	3025	2004-10-27 00:00:00	77.35	22.65	0	0	190.40
LOCAL	780001	7	age078b	ANEXO CENTRAL DE MAYOREO (CENMA) 	22		NULL	58.207	40.658	1.136	0	0.00
CLARO	79	7	age079	MOMOSTENANGO	39	8900505	2007-04-11 00:00:00	99.086	0.914	0	0	133.00
CLARO	80	7	age080	ANEXO NUEVA SANTA ROSA 	32	8900708	2009-08-14 00:00:00	63.828	36.172	0	0	133.00
TIGO	81	7	age081	ATESCATEMPA	4	9623	2006-08-10 00:00:00	100	0	0	0	190.40
CLARO	82	7	age082	CAMOTAN	44	8900631	2008-09-25 00:00:00	100	0	0	0	133.00
TIGO	83	7	age083	ESCUINTLA	3	1154	2003-01-23 00:00:00	99.674	0.326	0	0	190.40
TIGO	84	7	age084	COMALAPA	2	2699	2004-03-11 00:00:00	99.597	0.403	0	0	190.40
TIGO	85	7	age085	QUETZALTEPEQUE	44	2104	2003-12-12 00:00:00	99.934	0.066	0	0	190.40
TIGO	86	7	age086	SANTA CATARINA MITA	6	7613	2006-09-11 00:00:00	99.956	0.044	0	0	190.40
CLARO	87	7	age087	OLOPA	44	8900710	2010-01-08 00:00:00	99.962	0.038	0	0	133.00
CLARO	88	7	age088	LA UNION	7	8900661	2009-04-03 00:00:00	99.851	0.149	0	0	133.00
CLARO	89	7	age089	JACALTENANGO	40	8900356	2003-01-24 00:00:00	99.767	0.233	0	0	133.00
CLARO	89	7	age089	JACALTENANGO	40	8900356	2003-01-24 00:00:00	99.767	0.233	0	0	133.00
CLARO	90	7	age090	PACHALUM	31	8900609	2008-10-09 00:00:00	99.874	0.126	0	0	133.00
TIGO	91	7	age091	PALENCIA	24	2819	2004-06-04 00:00:00	99.575	0.425	0	0	190.40
CLARO	92	7	age092	SAN MARCOS	15	8900304	2002-02-11 00:00:00	99.464	0.536	0	0	133.00
CLARO	93	7	age093	SAN PEDRO LA LAGUNA	17	8900351	2004-02-25 00:00:00	99.078	0.922	0	0	133.00
TIGO	94	7	age094	AUTOBANCO LOS AMATES	8	26991	2009-03-21 00:00:00	99.954	0.046	0	0	190.40
CLARO	95	7	age095	SAN FRANCISCO EL ALTO	39	8900788	2010-07-19 00:00:00	99.792	0.208	0	0	133.00
CLARO	950001	7	age095b	RENAP SAN FRANCISCO EL ALTO	39	8900700	2009-08-27 00:00:00	33.124	66.876	0	0	133.00
TIGO	96	7	age096	MIGRACION	27	1434	2006-09-11 00:00:00	100	0	0	0	190.40
TIGO	97	7	age097	HUEHUETENANGO AGENCIA TRIBUTARIA	13	1167	2003-02-11 00:00:00	99.95	0.05	0	0	190.40
CLARO	98	7	age098	CHACTE	30	8901203	2012-06-05 00:00:00	98.229	1.771	0	0	133.00
OPTEL	99	7	age099	OFICINA ZONA 1 (CENTRO)	23		2013-01-01 00:00:00	98.277	1.723	0	0	3584.00
CLARO	100	7	age100	ADUANA VALLE NUEVO	4	8900341	2003-01-30 00:00:00	98.18	1.82	0	0	133.00
COLUMBUS	101	7	age101	SAN CRISTOBAL FRONTERA	4	5001756	2013-06-21 00:00:00	99.73	0.27	0	0	252.00
TIGO	102	7	age102	ADUANA TECUN UMAN	33	1165	2003-01-28 00:00:00	99.92	0.08	0	0	190.40
CLARO	104	7	age104	ADUANA PUERTO BARRIOS	8	8901878	2012-10-11 00:00:00	99.736	0.264	0	0	133.00
CLARO	105	7	age105	SIJA QUETZALTENANGO	39	8902043	2013-12-27 00:00:00	99.814	0.186	0	0	133.00
CLARO	106	7	age106	ADUANA AGUA CALIENTE	44	8900319	2002-03-11 00:00:00	100	0	0	0	133.00
TIGO	107	7	age107	ADUANA ERMITA	44	30036	2009-12-07 00:00:00	99.543	0.457	0	0	190.40
CLARO	108	7	age108	EL FLORIDO	44	8902326	2015-10-02 00:00:00	99.38	0.62	0	0	133.00
CLARO	109	7	age109	ROOSEVELTH	25	8900259	2000-04-19 00:00:00	98.158	1.842	0	0	133.00
CLARO	1090001	7	age109b	MAYCOM C.C. ESKALA ROOSEVELT	25	8901872	2012-09-07 00:00:00	68.872	31.128	0	0	133.00
COLUMBUS	110	7	age110	ADUANA PEDRO DE ALVARADO	3	5021651	2016-10-03 00:00:00	99.617	0.383	0	0	252.00
CLARO	111	7	age111	CUILAPA	32	8901191	2012-04-20 00:00:00	99.522	0.478	0	0	133.00
CLARO	113	7	age113	ADUANA MELCHOR DE MENCOS	9	8900525	2007-08-22 00:00:00	98.594	1.406	0	0	133.00
CLARO	114	7	age114	PUERTO QUETZAL	3	8900391	2006-05-15 00:00:00	99.844	0.156	0	0	133.00
LOCAL	115	7	age115	AG. ZONA11	29		2012-11-01 00:00:00	99.973	0.027	0	0	0.00
CLARO	116	7	age116	TODOS SANTOS HUEHUETENANGO	40	8900684	2009-08-14 00:00:00	97.275	2.725	0	0	133.00
CLARO	117	7	age117	NENTON	14	8900615	2008-09-18 00:00:00	98.19	1.81	0	0	133.00
CLARO	118	7	age118	BOULEVAR LIBERACION	28	8900444	2000-04-19 00:00:00	99.839	0.161	0	0	133.00
CLARO	119	7	age119	SANTA MARIA IXHUATAN	32	8901327	2012-06-01 00:00:00	97.627	2.373	0	0	133.00
CLARO	120	7	age120	AUTOBANCO ASUNCION MITA	5	8900449	2005-12-22 00:00:00	99.969	0.031	0	0	133.00
CLARO	121	7	age121	CHICHICASTENANGO	12	8900673	2009-06-24 00:00:00	98.667	1.333	0	0	133.00
TIGO	122	7	age122	CAHABON	10	71717	2015-08-13 00:00:00	99.072	0.928	0	0	190.40
TIGO	123	7	age123	TUCURU	11	71716	2015-02-03 00:00:00	98.298	1.702	0	0	190.40
COLUMBUS	124	7	age124	COBAN IMPERIAL	10	5001284	2013-01-24 00:00:00	97.75	2.25	0	0	526.40
CLARO	1240001	7	age124b	RENAP COBAN	10	8900695	2012-03-13 00:00:00	88.706	11.294	0	0	133.00
CLARO	125	7	age125	CHISEC	10	8900685	2009-09-02 00:00:00	99.916	0.084	0	0	133.00
